Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
15-October-2015,245.50,249.75,245.40,248.95,248.480006403615579873,1299266,21417,322841624.00,394464,30.36,4.35,3.45
14-October-2015,243.30,246.75,243.25,244.25,244.756472028906508343,662273,9792,162095603.00,246557,37.23,3.50,0.95
13-October-2015,244.00,247.25,242.15,243.40,244.585267890285881829,1064111,12727,260265874.00,268300,25.21,5.10,-0.60
12-October-2015,244.00,245.50,241.50,244.50,244.151463213999977463,887430,11107,216667333.00,264437,29.80,4.00,0.50
9-October-2015,245.70,247.80,240.90,243.20,244.810188616061046736,1290028,15213,315811998.00,377121,29.23,6.90,-2.50
8-October-2015,243.00,245.15,241.05,243.35,243.240957409077551351,986830,12179,240037474.00,202571,20.53,4.10,0.35
7-October-2015,240.25,244.00,239.00,243.35,242.345411943466523601,1110917,12802,269225638.00,280934,25.29,5.00,3.10
6-October-2015,242.20,243.00,237.70,240.25,240.151891244101565425,1201590,11516,288564111.00,231771,19.29,5.30,-1.95
5-October-2015,238.00,240.80,237.40,239.85,239.476253085884950402,1050347,12000,251533164.00,232981,22.18,3.40,1.85
1-October-2015,242.00,242.00,234.90,235.40,237.254763068862710136,1274231,14315,302317374.00,327456,25.70,7.10,-6.60
30-September-2015,245.00,246.50,236.00,237.25,239.096130559225011008,1744128,20541,417014256.00,472906,27.11,10.50,-7.75
29-September-2015,237.00,245.40,232.30,242.00,240.316578171688586662,3161573,32129,759778405.00,452763,14.32,13.10,5.00
28-September-2015,241.00,243.70,238.60,239.55,241.487360765355920579,1044011,11056,252115461.00,219784,21.05,5.10,-1.45
24-September-2015,240.00,241.50,238.25,239.15,239.693360605590203902,876104,10360,209996312.00,163394,18.65,3.25,-0.85
23-September-2015,236.00,241.85,233.65,240.10,238.519171462410435077,1389774,14146,331487743.00,242549,17.45,8.20,4.10
22-September-2015,247.90,248.50,236.55,237.90,242.488203430592195033,1407104,15226,341206121.00,434577,30.88,11.95,-10.00
21-September-2015,240.00,247.00,237.50,245.15,242.374115959281473680,1310460,13598,317621584.00,434102,33.13,9.50,5.15
18-September-2015,239.00,246.15,239.00,242.35,243.791145100663727595,1846842,21594,450243726.00,427670,23.16,7.15,3.35
16-September-2015,236.80,237.60,235.15,236.65,236.405578033946611700,943128,11240,222960720.00,279349,29.62,2.45,-0.15
15-September-2015,235.15,238.35,232.75,233.80,235.306193362941523349,1404116,15643,330397191.00,275767,19.64,5.60,-1.35
14-September-2015,231.90,235.95,230.05,235.15,233.246262944916278191,1137995,13009,265433081.00,309266,27.18,5.90,3.25
11-September-2015,230.50,233.30,228.20,230.15,230.841603711094281687,1453803,16104,335598216.00,379169,26.08,5.10,-0.35
10-September-2015,227.80,230.00,224.25,227.60,226.055693728903890566,1609894,17964,363925705.00,444152,27.59,5.75,-0.20
9-September-2015,234.10,234.30,229.25,231.55,232.095850302875490349,1601153,18965,371620967.00,419603,26.21,5.05,-2.55
8-September-2015,222.80,230.00,221.25,228.30,226.200601101195528160,1902841,21359,430423778.00,406228,21.35,8.75,5.50
7-September-2015,226.90,227.70,220.60,221.70,224.160578113638964276,1948821,23677,436848842.00,441101,22.63,7.10,-5.20
4-September-2015,232.50,232.50,224.25,225.05,226.048186022559592778,2524425,30463,570641692.00,861912,34.14,8.25,-7.45
3-September-2015,233.90,235.50,231.15,232.60,233.014936230400181302,1976804,23561,460624858.00,500429,25.32,4.35,-1.30
2-September-2015,241.80,243.00,230.05,230.60,234.441446654633971972,3178008,38446,745056793.00,1063684,33.47,12.95,-11.20
1-September-2015,245.10,245.10,238.00,239.10,240.468938043487125426,2329747,28594,560231787.00,863406,37.06,7.10,-6.00
31-August-2015,249.00,251.45,245.30,247.10,248.029844973378406813,1820139,22185,451448794.00,506979,27.85,6.15,-1.90
28-August-2015,254.00,255.95,247.55,249.25,251.937816411951161489,1555330,17396,391846444.00,405968,26.10,8.40,-4.75
27-August-2015,251.50,252.20,248.10,249.45,250.026602451838879159,1313300,15257,328359937.00,435733,33.18,4.10,-2.05
26-August-2015,253.70,253.70,245.25,245.80,248.700187978984913481,1970965,23056,490179366.00,597675,30.32,8.45,-7.90
25-August-2015,249.00,254.80,240.10,253.40,249.143115171613014205,2720627,31564,677825486.00,579301,21.29,14.70,4.40
24-August-2015,255.00,257.85,242.30,245.50,252.179373870019907991,4080271,46631,1028960186.00,1564495,38.34,15.55,-9.50
21-August-2015,263.00,268.70,256.60,267.40,263.214674574437134620,1935143,23749,509358035.00,485004,25.06,12.10,4.40
20-August-2015,278.70,281.65,268.10,270.45,273.627389394418444127,1726902,16799,472527686.00,423542,24.53,13.55,-8.25
19-August-2015,283.10,285.80,275.85,278.05,280.488628859157113032,1464277,15103,410713048.00,351474,24.00,9.95,-5.05
18-August-2015,281.40,287.90,275.60,283.95,282.891235842020795125,2409507,29471,681628413.00,487368,20.23,12.30,2.55
17-August-2015,272.05,281.80,270.60,279.05,277.853523219597949948,2977291,32886,827250794.00,674815,22.67,11.20,7.00
14-August-2015,261.40,269.50,259.35,268.45,265.082644688014429894,2069038,20738,548466065.00,474004,22.91,10.15,7.05
13-August-2015,259.55,262.85,258.30,259.40,260.381912332817499471,1519223,16389,395578190.00,408184,26.87,4.55,-0.15
12-August-2015,267.70,267.75,255.00,256.45,261.030748131893278049,3216358,35438,839568335.00,992428,30.86,12.75,-11.25
11-August-2015,286.00,289.50,268.25,269.30,277.609019762137567539,5134060,57160,1425261364.00,1043718,20.33,21.25,-16.70
10-August-2015,281.70,286.00,280.70,283.10,283.797792564329254106,1074550,12655,304954918.00,264937,24.66,5.30,1.40
7-August-2015,288.25,288.50,280.25,281.40,284.058777607944112185,974810,11306,276903337.00,268453,27.54,8.25,-6.85
6-August-2015,286.20,290.65,282.15,288.25,287.165936781894228702,1209780,13913,347407607.00,234933,19.42,8.50,2.05
5-August-2015,289.00,291.85,284.50,285.35,287.998950947859226112,1144843,14452,329713583.00,233423,20.39,7.35,-3.65
4-August-2015,282.90,289.85,276.75,288.20,283.823743408587822881,2959912,35199,840093304.00,639637,21.61,13.10,5.30
3-August-2015,270.70,282.70,270.00,281.05,279.828015970074095388,2279764,25848,637941837.00,787241,34.53,12.70,10.35
31-July-2015,258.90,273.30,257.80,270.40,266.888277931435311674,3267367,25751,872021952.00,1501652,45.96,15.50,11.50
30-July-2015,253.70,259.40,253.70,256.90,256.804814591846372693,1048147,10594,269169196.00,275265,26.26,5.70,3.20
29-July-2015,260.15,260.85,252.40,253.70,255.721402113541488255,1266973,12851,323992112.00,450299,35.54,8.45,-6.45
28-July-2015,259.50,263.85,258.40,259.35,260.488281776198573124,786894,8773,204976666.00,196346,24.95,5.45,-0.15
27-July-2015,263.65,263.70,258.50,259.05,260.390871913839381437,774182,9496,201589926.00,278121,35.92,5.20,-4.60
24-July-2015,270.00,270.60,262.25,263.50,266.035313003973506025,677739,8370,180302507.00,217784,32.13,8.35,-6.50
23-July-2015,270.00,271.80,267.30,269.50,269.502487225519504385,753651,7860,203110819.00,118134,15.67,4.50,-0.50
22-July-2015,264.00,269.90,262.10,268.65,266.487178248301338774,724394,9163,193041713.00,185098,25.55,7.80,4.65
21-July-2015,267.45,269.70,263.50,264.25,266.807957965408035642,584471,6651,155941514.00,150224,25.70,6.20,-3.20
20-July-2015,272.00,272.50,266.15,267.35,267.996765430056560438,785885,8679,210614638.00,248179,31.58,6.35,-4.65
17-July-2015,272.90,273.85,270.65,271.05,271.921255815783168292,559254,7744,152073050.00,117780,21.06,3.20,-1.85
16-July-2015,269.80,272.20,268.25,271.75,270.384531648595924990,786354,9320,212617958.00,168804,21.47,3.95,1.95
15-July-2015,268.80,271.70,267.55,268.30,269.557574595310029143,636166,6730,171483364.00,129100,20.29,4.15,-0.50
14-July-2015,274.00,274.25,267.75,268.60,270.494683751530175239,816083,9592,220746113.00,207508,25.43,6.50,-5.40
