Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2-March-2016,1038.85,1055.00,1025.00,1030.45,1039.347705146036161335,13661,2288,14198529.00,4085,29.90,30.00,-8.40
1-March-2016,1028.00,1048.25,1014.25,1031.00,1032.982783472133247918,12488,1783,12899889.00,2830,22.66,34.00,3.00
29-February-2016,1028.90,1078.05,1006.00,1015.30,1026.609650688977363364,299647,3189,307620502.00,279543,93.29,72.05,-13.60
26-February-2016,1070.15,1072.00,1002.05,1026.05,1022.350795593635250917,8170,1548,8352606.00,1658,20.29,69.95,-44.10
25-February-2016,1090.75,1090.75,1040.00,1053.90,1063.343967325311844574,9059,1443,9632833.00,3376,37.27,50.75,-36.85
24-February-2016,1086.35,1095.20,1046.00,1077.25,1077.781678368438649281,8973,1030,9670935.00,3390,37.78,49.20,-9.10
23-February-2016,1110.05,1111.80,1075.90,1083.85,1093.881298035866780529,8197,1223,8966545.00,2065,25.19,35.90,-26.20
22-February-2016,1102.50,1112.00,1093.45,1106.15,1104.442697414395527603,5724,742,6321830.00,851,14.87,18.55,3.65
19-February-2016,1081.25,1108.00,1080.00,1099.50,1092.278660760812923397,7676,1108,8384331.00,1331,17.34,28.00,18.25
18-February-2016,1116.90,1147.00,1076.00,1092.40,1112.103422053231939163,11835,1681,13161744.00,2201,18.60,71.00,-24.50
17-February-2016,1096.35,1125.00,1056.55,1103.65,1087.687614027974863166,9866,1668,10731126.00,2645,26.81,68.45,7.30
16-February-2016,1114.00,1131.70,1093.00,1100.50,1109.846627038982582250,14468,2457,16057261.00,2541,17.56,38.70,-13.50
15-February-2016,1064.10,1115.00,1064.10,1106.15,1098.365519379844961240,16125,2300,17711144.00,3703,22.96,50.90,42.05
12-February-2016,1099.00,1106.65,1030.00,1042.50,1056.976113886797618232,14611,2710,15443478.00,3362,23.01,76.65,-56.50
11-February-2016,1078.00,1125.00,1062.60,1078.60,1098.965562629274451339,37227,5117,40911191.00,4954,13.31,62.40,0.60
10-February-2016,1116.65,1128.15,1036.00,1059.95,1074.389765949982458778,19953,2858,21437299.00,3602,18.05,92.15,-56.70
9-February-2016,1090.10,1156.30,1090.10,1119.15,1133.368254502608988385,29705,3079,33666704.00,3998,13.46,66.20,29.05
8-February-2016,1135.00,1165.00,1079.05,1101.30,1125.928795662100456621,28032,4799,31562036.00,5477,19.54,85.95,-33.70
5-February-2016,1149.65,1163.80,1113.85,1130.75,1132.977421990859840803,33041,3855,37434707.00,4268,12.92,49.95,-18.90
4-February-2016,1018.95,1192.00,1017.15,1148.10,1118.870515407503676596,204673,21533,229002585.00,12597,6.15,174.85,129.15
3-February-2016,1007.00,1036.80,996.50,1005.25,1015.263948284435604177,10055,2049,10208479.00,2564,25.50,40.30,-1.75
2-February-2016,1002.55,1022.40,1002.55,1014.55,1014.134578043315907393,6695,1535,6789631.00,3350,50.04,19.85,12.00
1-February-2016,976.00,1025.00,975.00,997.70,1001.335291863584110358,7829,1624,7839454.00,2445,31.23,50.00,21.70
29-January-2016,976.80,976.85,965.00,973.00,972.020361990950226244,3536,620,3437064.00,1872,52.94,11.85,-3.80
28-January-2016,973.50,977.95,964.00,968.25,971.004304778303917348,2323,631,2255643.00,677,29.14,13.95,-5.25
27-January-2016,980.00,980.60,967.25,971.85,973.996736026111791105,2451,514,2387266.00,768,31.33,13.35,-8.15
25-January-2016,982.75,991.85,966.45,980.05,974.695850264745720970,8121,1361,7915505.00,3743,46.09,25.40,-2.70
22-January-2016,988.00,988.00,964.00,967.45,970.913886462882096069,5725,1235,5558482.00,2288,39.97,24.00,-20.55
21-January-2016,1007.45,1014.15,963.05,968.75,983.871395617070357554,3468,926,3412066.00,1535,44.26,51.10,-38.70
20-January-2016,1010.00,1010.00,984.00,999.65,996.379479112043349064,5721,1254,5700287.00,2501,43.72,26.00,-10.35
19-January-2016,993.00,1034.85,993.00,1018.80,1016.397285067873303167,4420,598,4492476.00,1000,22.62,41.85,25.80
18-January-2016,1016.00,1016.80,993.00,999.90,1003.451693538307711536,8001,916,8028617.00,2499,31.23,23.80,-16.10
15-January-2016,1015.00,1035.00,1002.05,1015.05,1020.044489157165213503,4473,531,4562659.00,1800,40.24,32.95,0.05
14-January-2016,1010.05,1040.00,1004.95,1013.10,1016.301160337552742616,5688,628,5780721.00,1643,28.89,35.05,3.05
13-January-2016,1038.55,1042.45,1007.00,1021.15,1022.884562607204116638,5830,751,5963417.00,1435,24.61,35.45,-17.40
12-January-2016,1040.00,1045.95,1000.00,1023.75,1029.603244005641748942,7090,970,7299887.00,1909,26.93,45.95,-16.25
11-January-2016,1055.00,1055.00,1001.00,1006.85,1026.059201846965699208,12128,1182,12444046.00,7061,58.22,54.00,-48.15
8-January-2016,1070.00,1074.75,1051.00,1053.70,1058.500440528634361233,6810,900,7208388.00,2149,31.56,23.75,-16.30
7-January-2016,1070.00,1070.00,1048.00,1056.15,1055.627361945217518675,6827,756,7206768.00,2509,36.75,22.00,-13.85
