Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
16-January-2014,208.80,212.50,208.80,212.05,211.097542631135317383,77115,1864,16278787.00,30988,40.18,3.70,3.25
15-January-2014,205.55,209.50,205.55,208.95,208.363460148498587292,60876,1486,12684334.00,25122,41.27,3.95,3.40
14-January-2014,207.25,208.30,204.00,205.95,206.018561585776695863,46009,1164,9478708.00,14983,32.57,4.30,-1.30
13-January-2014,201.10,208.35,201.10,207.30,204.683986934458421635,102866,2546,21055023.00,47434,46.11,7.25,6.20
10-January-2014,200.00,203.00,199.75,200.35,201.294468311852665933,90081,1891,18132807.00,23102,25.65,3.25,0.35
9-January-2014,196.90,200.65,194.50,198.95,197.993895215738715233,137597,2813,27243366.00,40871,29.70,6.15,2.05
8-January-2014,200.00,200.20,195.05,195.50,196.612333255324128247,162374,4054,31924731.00,71578,44.08,5.15,-4.50
7-January-2014,204.90,211.00,198.30,199.90,201.751771110393000074,80458,1892,16232544.00,39312,48.86,12.70,-5.00
6-January-2014,206.80,206.80,203.05,204.40,204.691886808583397452,70182,1200,14365686.00,18886,26.91,3.75,-2.40
3-January-2014,206.00,207.05,202.65,203.30,204.073054210072324331,45213,1060,9226755.00,20488,45.31,4.40,-2.70
2-January-2014,211.00,211.60,205.10,205.90,209.455347380712276418,94205,1962,19731741.00,28214,29.95,6.50,-5.10
1-January-2014,215.10,215.10,207.25,208.35,211.331534797453947645,47446,1182,10026836.00,22491,47.40,7.85,-6.75
