Date,Open,High,Low,ClosePrice,Adj Close,Volume
2014-01-01,404.912994,406.627991,403.627014,405.770996,353.836029,1252611
2014-01-02,405.865997,414.916992,397.290985,399.386993,348.269135,4198711
2014-01-03,396.815002,399.578003,389.669006,393.003998,342.703125,3341710
2014-01-06,391.527008,396.053009,385.47699,389.002014,339.213318,2838784
2014-01-07,390.527008,392.432007,373.997009,376.045013,327.914673,4093902
2014-01-08,375.997986,378.475006,371.186005,373.854004,326.00412,4766279
2014-01-09,375.712006,380.428009,369.281006,372.32901,324.674286,4186075
2014-01-10,374.234985,374.615997,365.375,366.326996,319.440491,3427619
2014-01-13,367.041992,370.804993,363.707001,367.709015,320.64563,2884542
2014-01-14,366.803986,370.61499,355.657013,356.657013,311.008179,3826638
2014-01-15,358.229004,362.040009,354.98999,357.276001,311.547974,3472033
2014-01-16,358.704987,366.326996,358.085999,363.088013,316.616089,3824924
2014-01-17,362.993011,367.471008,357.419006,359.800995,313.749756,3606838
2014-01-20,359.65799,361.325012,352.608002,356.847992,311.174774,3448153
2014-01-21,358.229004,367.756012,358.229004,365.470001,318.693207,4295527
2014-01-22,366.136993,375.377991,366.136993,374.664001,326.710449,4862977
2014-01-23,374.28299,374.425995,368.803986,370.852997,323.387238,2620911
2014-01-24,366.898987,367.756012,356.752014,358.229004,312.378967,3129253
2014-01-27,351.94101,352.178986,335.363007,336.839996,293.72757,4632135
2014-01-28,337.269012,351.464996,335.839996,349.321014,304.611145,5091163
2014-01-29,351.083008,351.893005,339.411987,341.079987,297.424866,4764133
2014-01-30,336.31601,337.269012,325.074005,330.17099,287.91214,5896572
2014-01-31,331.933014,340.984009,331.123993,339.221985,295.804688,5454386
2014-02-03,338.126007,338.126007,325.884003,326.884003,285.045837,3735596
2014-02-04,322.072998,330.457001,320.166992,326.740997,284.921173,7632242
2014-02-05,328.550995,343.842987,327.789001,342.414001,298.588135,4993622
2014-02-06,344.795013,349.845001,339.411987,344.175995,300.124603,6791704
2014-02-07,345.462006,368.709015,345.462006,366.279999,319.399506,12302521
2014-02-10,368.614014,374.615997,362.563995,364.421997,317.779266,6553343
2014-02-11,368.709015,374.425995,367.088989,371.32901,323.802307,4485589
2014-02-12,367.328003,368.614014,355.132996,356.657013,311.008179,9844886
2014-02-13,358.229004,360.897003,347.938995,350.083008,305.275604,6143235
2014-02-14,351.464996,354.799011,342.460999,353.274994,308.059082,6336996
2014-02-17,353.894012,357.657013,349.178009,356.371002,310.758759,3601586
2014-02-18,356.276001,363.850006,354.513,361.705994,315.41095,3785334
2014-02-19,361.897003,361.945007,353.608002,356.181,310.593109,3324240
2014-02-20,351.703003,352.321991,346.79599,349.415985,304.69397,4491643
2014-02-21,349.415985,357.990997,349.415985,356.704987,311.050018,3340196
2014-02-24,356.132996,356.132996,348.987,351.75,306.729248,3436204
2014-02-25,352.131012,354.466003,342.604004,343.509003,299.542999,4604054
2014-02-26,343.985992,345.700989,331.933014,332.790985,290.196777,10593772
2014-02-28,334.411011,337.839996,324.596985,327.550995,285.627472,10385094
2014-03-03,327.740997,332.980988,324.596985,328.980011,286.873596,5977581
2014-03-04,330.122986,335.839996,329.028015,335.125,292.232056,5988503
2014-03-05,338.031006,342.795013,335.125,339.127014,295.721893,6971386
2014-03-06,341.079987,348.130005,339.174011,346.987,302.575836,5983695
2014-03-07,350.798004,355.752014,347.320007,353.561005,308.308441,6631056
2014-03-10,350.845001,353.274994,345.319,346.938995,302.533936,5204166
2014-03-11,346.938995,347.177002,326.169006,327.502991,285.585602,9601467
2014-03-12,324.882996,332.171997,321.406006,323.549011,282.137756,9170253
2014-03-13,325.835999,331.457001,318.451996,320.928986,279.853058,5845720
2014-03-14,318.213989,326.597992,316.30899,325.549988,283.882538,6465473
2014-03-18,329.647003,331.552002,323.072998,324.596985,283.051575,4359901
2014-03-19,327.170013,342.365997,324.121002,339.746002,296.261597,10049017
2014-03-20,340.317993,342.84201,331.218994,333.410004,290.736572,5321463
2014-03-21,334.601013,347.748993,334.601013,345.700989,301.454437,8557884
2014-03-24,347.558014,349.653992,339.316986,345.938995,301.661957,5857920
2014-03-25,345.080994,354.084991,344.462006,349.75,304.985229,5540820
2014-03-26,353.846008,358.229004,352.798004,357.085999,311.382263,5864234
2014-03-27,357.276001,361.515991,355.609009,357.657013,311.880219,6026123
2014-03-28,360.897003,365.613007,358.229004,363.468994,316.948303,3944668
2014-03-31,366.470001,377.617004,364.89801,375.330994,327.292084,7388876
2014-04-01,377.283997,384.286011,368.233002,382.190002,333.273163,8786127
2014-04-02,383.428986,385.858002,380.190002,384.381989,335.184601,5628957
2014-04-03,384.334015,392.527008,375.140015,378.855988,330.365906,7398077
2014-04-04,380.998993,385.572998,376.712006,383,333.979492,4814844
2014-04-07,383.523987,388.23999,379.380005,387.429993,337.842499,3876261
2014-04-09,390.622009,399.911011,388.71701,398.958008,347.89505,5243104
2014-04-10,399.101013,404.722992,391.765015,398.053009,347.105835,6189079
2014-04-11,395.862,403.484009,391.575012,400.006012,348.808929,5507135
2014-04-15,399.721008,404.437012,388.431,389.812012,339.919678,4891628
2014-04-16,391.097992,397.053009,385.619995,394.147003,343.699829,4278546
2014-04-17,392.575012,400.053986,391.860992,399.101013,348.019775,3443986
2014-04-21,399.673004,405.389008,397.815002,403.484009,351.841736,3972774
2014-04-22,403.86499,403.86499,398.338989,400.959015,349.639954,3429251
2014-04-23,401.10199,409.01001,400.339996,406.390015,354.375793,5336448
2014-04-24,406.390015,406.390015,406.390015,406.390015,354.375793,0
2014-04-25,406.390015,412.440002,402.388,406.722992,354.666199,5028711
2014-04-28,404.912994,411.487,404.056,405.674988,353.752319,3526721
2014-04-29,404.912994,406.104004,384.906006,386.334991,336.887665,7200792
2014-04-30,387.764008,388.23999,374.664001,381.713989,332.858093,7456891
2014-05-02,383.953003,387.382996,369.756989,371.61499,324.051666,6146903
2014-05-05,371.947998,384.714996,370.471985,378.76001,330.282196,5504357
2014-05-06,380.52301,385.381989,379.808014,382.761993,333.771973,3868809
2014-05-07,382.190002,384.381989,377.427002,380.998993,332.234619,2763382
2014-05-08,382.238007,387.049011,379.570007,383,333.979492,3465957
2014-05-09,381.095001,400.864014,380.237,397.005005,346.191986,6801235
2014-05-12,397.243988,406.722992,396.43399,400.196991,348.975433,5507864
2014-05-13,404.102997,420.632996,401.339996,406.914001,354.832764,9371294
2014-05-14,409.628998,433.209015,409.580994,430.970001,375.809814,11398491
2014-05-15,435.304993,445.881012,429.446014,438.830994,382.664642,14979586
2014-05-16,450.644012,462.886993,407.009003,420.062012,366.297913,20487441
2014-05-19,423.967987,438.497009,415.011993,429.446014,374.480835,11512867
2014-05-20,432.06601,451.931,432.06601,445.071014,388.106018,9550649
2014-05-21,445.833008,448.119995,435.591003,440.687988,384.283966,5758919
2014-05-22,443.02301,455.217987,442.975006,448.644012,391.22168,6104865
2014-05-23,449.691986,460.171997,447.166992,455.598999,397.286499,5976796
2014-05-26,459.313995,471.605011,431.209015,445.546997,388.521057,8144575
2014-05-27,444.30899,456.312988,439.735992,455.027008,396.78772,4986252
2014-05-28,457.503998,460.64801,444.928009,447.071991,389.850861,4004746
2014-05-29,448.739014,452.074005,441.497986,443.928009,387.109283,4486254
2014-05-30,444.928009,454.454987,441.117004,452.644989,394.710571,5454970
2014-06-02,453.312012,472.175995,449.167999,469.604004,409.498993,5832731
2014-06-03,473.985992,503.377991,472.557007,501.902008,437.663177,13132423
2014-06-04,502.329987,517.71698,500.282013,512.000977,446.469513,11274374
2014-06-05,514.286987,534.247009,512.619995,530.627014,462.711639,9595389
2014-06-06,537.820007,541.869019,526.195984,534.151978,465.78537,7941909
2014-06-09,538.296021,552.492004,533.53302,548.062012,477.9151,6191178
2014-06-10,547.823975,547.823975,526.338989,532.294006,464.165253,5868005
2014-06-11,533.437012,539.057983,519.336975,523.481018,456.480255,5427149
2014-06-12,523.052002,531.578979,517.90802,523.671997,456.64679,3903193
2014-06-13,522.624023,527.10199,499.186005,500.710999,436.624603,4547880
2014-06-16,499.901001,504.283997,487.800995,499.806,435.835449,7321059
2014-06-17,500.187012,508.951996,488.753998,507.141998,442.232483,6998498
2014-06-18,510.761993,514.335022,493.518005,497.233002,433.591736,5893896
2014-06-19,500.187012,501.520996,490.658997,494.898987,431.556488,4284385
2014-06-20,494.470001,509.238007,493.326996,495.328003,431.930573,5739271
2014-06-23,496.281006,503.617004,495.898987,501.997009,437.746002,3572932
2014-06-24,502.569,510.571991,502.520996,507.141998,442.232483,3171681
2014-06-25,507.903992,512.572021,505.04599,505.855988,441.111053,2413886
2014-06-26,506.855988,511.143005,499.042999,500.949005,436.832123,3446883
2014-06-27,503.712006,505.903015,492.565002,494.375,431.099548,3364196
2014-06-30,496.756989,505.522003,495.184998,503.425995,438.992065,3957013
2014-07-01,504.950012,519.526978,504.950012,515.096985,449.169312,5576223
2014-07-02,521.146973,523.909973,516.859985,517.812012,451.536865,3414163
2014-07-03,521.336975,523.528992,511.858002,513.572998,447.840363,3566200
2014-07-04,519.241028,519.241028,506.093994,511.238007,445.80423,3818246
2014-07-07,511.714996,517.241028,508.380005,510.713989,445.347321,2670329
2014-07-08,512.572021,514.192017,485.895996,489.278015,426.654877,3801872
2014-07-09,491.612,501.854004,486.990997,493.851013,430.642578,5445058
2014-07-10,495.423004,512.429016,485.942993,496.756989,433.176636,7170287
2014-07-11,495.423004,499.471985,475.653992,478.178986,416.976471,6396797
