Date,Open,High,Low,ClosePrice,Adj Close,Volume
2014-01-01,74.599998,75.160004,74.220001,74.889999,58.173923,6697155
2014-01-02,75,76.360001,72.040001,72.43,56.263023,30635905
2014-01-03,71.599998,74.290001,71.599998,73.959999,57.451515,19839425
2014-01-06,74.059998,74.129997,72.419998,73.279999,56.923298,15155620
2014-01-07,73.199997,73.779999,71.860001,73.029999,56.729088,24125140
2014-01-08,73.25,73.5,70.709999,71.279999,55.369709,25616620
2014-01-09,71.139999,71.139999,69.599998,70.029999,54.39872,19098620
2014-01-10,70.400002,71.400002,68.349998,68.599998,53.28791,20346150
2014-01-13,68.599998,69.75,67,67.75,52.627636,24968885
2014-01-14,68.199997,69.519997,68.040001,69.32,53.847198,19910120
2014-01-15,70.18,71.360001,68.459999,70.610001,54.849262,64934430
2014-01-16,71.199997,72,70.419998,71.309998,55.393013,24749415
2014-01-17,70.599998,71.519997,69.879997,70.230003,54.554081,20753925
2014-01-20,69.830002,72.110001,69.830002,71.879997,55.835781,16425455
2014-01-21,72.059998,73.269997,72.059998,72.639999,56.426144,15888735
2014-01-22,72.800003,72.959999,71.730003,72.290001,56.154274,14133155
2014-01-23,72.190002,72.449997,71.099998,71.5,55.540604,13339170
2014-01-24,70.839996,71.550003,69.029999,69.610001,54.072472,13383640
2014-01-27,68,68.18,64,64.330002,49.971004,37111925
2014-01-28,64.400002,65.980003,62.889999,64.980003,50.475925,46534380
2014-01-29,65.639999,66.339996,63.599998,64.160004,49.838955,22696605
2014-01-30,63,63.200001,60.650002,61.27,47.594025,28954900
2014-01-31,61.619999,62.360001,60.82,61.529999,47.79599,33432480
2014-02-03,61.400002,61.41,59.75,59.889999,46.522053,27475485
2014-02-04,59.02,61.16,58.279999,60.68,47.135715,39635305
2014-02-05,60.209999,61.09,59.610001,60.610001,47.081345,30274690
2014-02-06,60.84,62.049999,60.310001,61,47.384293,27112565
2014-02-07,61.599998,62.049999,61,61.779999,47.990185,18804365
2014-02-10,62.02,62.689999,61.130001,61.560001,47.819294,16384370
2014-02-11,61.529999,62.16,61.02,61.259998,47.586258,13932460
2014-02-12,61.799999,62.389999,60.419998,60.619999,47.089111,26281690
2014-02-13,61,61.099998,58.82,58.970001,45.807404,24896975
2014-02-14,59.799999,60.400002,58.830002,60.130001,46.708481,17736015
2014-02-17,60.48,61.400002,59.41,61.029999,47.407593,26114905
2014-02-18,61.200001,62.200001,60.759998,61.540001,47.803764,27827705
2014-02-19,61.98,62.099998,61,61.389999,47.687237,18059465
2014-02-20,60.900002,61.279999,60.259998,60.380001,46.902679,18586325
2014-02-21,60.41,61.5,60.41,61.240002,47.570724,11296215
2014-02-24,61.200001,61.299999,60.240002,60.779999,47.213394,15555400
2014-02-25,61.240002,61.380001,60.310001,60.450001,46.957058,12886480
2014-02-26,60.439999,61.18,60.299999,60.5,46.995899,16223385
2014-02-28,61.060001,61.299999,60.439999,60.990002,47.376526,15882385
2014-03-03,60.470001,62.490002,60.310001,60.549999,47.034737,23682525
2014-03-04,60.869999,64.559998,60.720001,64.089996,49.784573,46799740
2014-03-05,64.940002,67,63.93,66.290001,51.493519,60714475
2014-03-06,66.800003,69.480003,66.220001,69.160004,53.722912,47161875
2014-03-07,69.480003,75.779999,69.400002,75.18,58.3992,89367625
2014-03-10,74.400002,77.900002,74,76.379997,59.331341,63668545
2014-03-11,76.580002,77.480003,73.279999,74.25,57.676781,50590570
2014-03-12,74,74.660004,72.18,72.949997,56.66695,41946620
2014-03-13,73.620003,75.599998,71.220001,72.269997,56.138725,36475990
2014-03-14,71.160004,71.559998,70.059998,71.169998,55.28426,36817220
2014-03-18,71.900002,73.470001,71.82,72.739998,56.503822,27174725
2014-03-19,73.449997,74.199997,72.260002,73.080002,56.767937,31403380
2014-03-20,73.18,73.18,72,72.410004,56.247486,17171155
2014-03-21,72.120003,73.25,71.32,72.07,55.983383,16034890
2014-03-24,73,76.160004,72.949997,75.839996,58.911869,37513855
2014-03-25,76,76.779999,75.32,75.910004,58.966259,19975350
2014-03-26,76.599998,80.599998,76.440002,80.349998,62.415203,65115345
2014-03-27,80.5,80.940002,77.5,78.809998,61.218945,39826555
2014-03-28,79.779999,81.540001,79.660004,80.980003,62.904594,29302440
2014-03-31,81.599998,83.349998,80.739998,82.790001,64.310577,32357400
2014-04-01,83.68,83.800003,81.040001,82.07,63.751293,34599935
2014-04-02,83,84.580002,81.949997,84.129997,65.351486,27943390
2014-04-03,84.269997,84.400002,81.639999,82.419998,64.02317,22231335
2014-04-04,82.400002,85,81.639999,84.629997,65.739876,30135815
2014-04-07,84.599998,86.220001,83.800003,85.779999,66.633194,26874500
2014-04-09,85.989998,89.989998,85.650002,89.459999,69.491783,31729315
2014-04-10,89.940002,91.139999,88.82,89.360001,69.414101,38488235
2014-04-11,87.989998,90.110001,87.599998,88.639999,68.854805,21511955
2014-04-15,87.25,89,82.669998,83.959999,65.219421,32734535
2014-04-16,83.220001,85,80.800003,81.510002,63.316299,37971290
2014-04-17,82,83.650002,81.82,83.419998,64.799965,25164155
2014-04-21,83.800003,88.160004,83.699997,87.279999,67.79837,29146500
2014-04-22,87.889999,88.699997,86.519997,86.870003,67.479897,25043430
2014-04-23,87.739998,89.139999,87.099998,88.269997,68.567398,54729380
2014-04-24,88.269997,88.269997,88.269997,88.269997,68.567398,0
2014-04-25,88.790001,94,88.379997,93.68,72.769836,63239435
2014-04-28,93.699997,94.959999,91.300003,92.650002,71.969749,24581965
2014-04-29,93,93.519997,89.400002,89.870003,69.810272,30283420
2014-04-30,90.040001,90.900002,85.75,88.150002,68.474182,35672520
2014-05-02,88.900002,90.099998,88.040001,88.800003,68.979103,15135350
2014-05-05,88.209999,89.470001,87.129997,87.699997,68.124619,25461135
2014-05-06,88.400002,89.779999,88.370003,89.169998,69.26651,16527750
2014-05-07,89.169998,89.559998,86.699997,87.089996,67.65078,16843665
2014-05-08,87.599998,88.889999,87.400002,88.639999,68.854805,14093740
2014-05-09,87.800003,99.699997,87.800003,96.910004,75.278893,83167225
2014-05-12,97.599998,100.5,97.419998,98.760002,76.715942,49316300
2014-05-13,100.599998,107.18,99.93,103.839996,80.662048,84689900
2014-05-14,104.599998,106.18,103.199997,104.459999,81.143654,28450920
2014-05-15,104.980003,106.980003,103.510002,104.75,81.368935,25460630
2014-05-16,107.959999,119.800003,106.290001,109.110001,84.755745,67713355
2014-05-19,110.940002,114.379997,110.019997,113.150002,87.893974,36475525
2014-05-20,114.400002,114.559998,108.769997,109.260002,84.872253,22389590
2014-05-21,109.949997,110.730003,105.449997,106.980003,83.101181,25711185
2014-05-22,107.400002,112.32,107.400002,111.57,86.666641,23723640
2014-05-23,112.559998,113,110.360001,112.669998,87.521103,24517250
2014-05-26,114,116.739998,108.910004,110.290001,85.672363,29270615
2014-05-27,109.18,111.190002,106,109.459999,85.027618,27006860
2014-05-28,109.589996,113.379997,109.300003,112.480003,87.373528,18271905
2014-05-29,111.480003,112.519997,107.400002,109.629997,91.680313,46033460
2014-05-30,112.43,115.300003,111.080002,113.879997,95.234474,45742700
2014-06-02,114.580002,115.709999,112.059998,115.129997,96.279808,23806670
2014-06-03,115.919998,117.400002,113.599998,116.089996,97.082626,31139715
2014-06-04,115.620003,117,115.019997,116.269997,97.233147,16038050
2014-06-05,116.5,117.599998,113.839996,114.860001,96.054024,26187635
2014-06-06,115.790001,117.089996,115,115.989998,96.998993,15963525
2014-06-09,117,117,113.43,113.910004,95.25956,35775525
2014-06-10,113.599998,114.279999,110.419998,113.410004,94.841423,29144680
2014-06-11,113.18,113.900002,109.449997,110.629997,92.516594,46967165
2014-06-12,111.400002,111.760002,107.889999,109,91.153473,20172355
2014-06-13,109.82,110.480003,104.82,105.599998,88.31015,27790985
2014-06-16,104.980003,108,101.5,107.440002,89.848892,30836225
2014-06-17,106.330002,111.110001,106.040001,110.709999,92.583496,26144515
2014-06-18,109.699997,111.839996,107.599998,108.519997,90.75206,21602520
2014-06-19,108,109.68,107.059998,107.650002,90.024506,18026030
2014-06-20,107.410004,109.18,107.410004,108.540001,90.768791,13657550
2014-06-23,109.199997,110.5,107.599998,110.050003,92.031563,11082020
2014-06-24,110.599998,112.080002,110.419998,111.720001,93.428123,12414530
2014-06-25,111.400002,111.800003,108.040001,108.410004,90.660072,14890625
2014-06-26,108.400002,109.480003,106.75,107.059998,89.531105,21170285
2014-06-27,106.199997,107.540001,105.120003,106.580002,89.1297,14927175
2014-06-30,106.400002,109.099998,106.400002,108.209999,90.492813,17599045
2014-07-01,108.739998,111.68,108.440002,111.25,93.035072,20105690
2014-07-02,112.199997,114.099998,112.050003,113.779999,95.150848,18809840
2014-07-03,114.400002,114.720001,111.860001,112.580002,94.147316,13053170
2014-07-04,111.849998,112.980003,110.010002,111.459999,93.210693,12912355
2014-07-07,111.620003,112.169998,108.050003,108.440002,90.685158,12804925
2014-07-08,108.209999,109.449997,104.5,105.190002,87.967285,22584930
2014-07-09,105.68,106.959999,101.940002,102.629997,85.826416,19825825
2014-07-10,102.800003,109.25,100.800003,105.769997,88.452309,35045375
2014-07-11,105.769997,107.150002,101.599998,102.089996,85.374832,18143350
2014-07-14,102,105.599998,100.440002,104.760002,87.607689,20497480
2014-07-15,105.550003,106.690002,103.260002,106.540001,89.096252,15878345
2014-07-16,107.510002,108.800003,105.900002,108.43,90.676796,12173000
2014-07-17,107.339996,110.360001,107.290001,109.529999,91.596687,13624155
2014-07-18,109.199997,111.379997,107.5,110.720001,92.591866,20923335
2014-07-21,111.599998,112.699997,110.620003,111.639999,93.361229,10681925
2014-07-22,112.040001,112.389999,108.199997,109.190002,91.312363,19285245
2014-07-23,109.949997,110.900002,105.510002,107.309998,89.740181,36305975
2014-07-24,107.699997,109.959999,106.959999,108.980003,91.136742,20594690
2014-07-25,108.620003,110.25,106.690002,107.82,90.166679,13230920
2014-07-28,108,109.199997,106.5,107.330002,89.756905,9100720
2014-07-30,107.400002,108.800003,106.260002,108.379997,90.634979,14940830
2014-07-31,107.459999,109.5,107.459999,108.220001,90.501183,16687645
2014-08-01,107.139999,109.599998,106.029999,107.260002,89.698357,19918900
2014-08-04,107.800003,108.959999,107,108.489998,90.726967,11342575
2014-08-05,108.800003,109.400002,107.400002,108.940002,91.103302,13652470
2014-08-06,108,109.040001,107.199997,107.529999,89.924149,13717075
2014-08-07,107,107.959999,106.050003,106.440002,89.012627,14193945
2014-08-08,104.800003,105.379997,103.209999,104.260002,87.189545,18137860
2014-08-11,105,107.089996,104.660004,106.790001,89.305305,16341530
2014-08-12,107.300003,109.599998,106.93,109.089996,91.228729,12712735
2014-08-13,108.599998,109.599998,107.82,109.040001,91.18692,18687725
2014-08-14,108.629997,109.230003,107.279999,108.169998,90.459373,9303355
2014-08-18,107.449997,112,107.449997,111.879997,93.561928,16438715
2014-08-19,112.760002,116.349998,112.57,115.849998,96.881912,28744215
2014-08-20,116.379997,116.93,114.75,116.529999,97.450584,12854710
2014-08-21,115.800003,117.879997,114.629997,114.989998,96.162735,20209010
2014-08-22,115.300003,117.599998,115.300003,116.779999,97.65966,14629055
2014-08-25,117.199997,118.669998,114.650002,115.269997,96.396881,16523290
2014-08-26,113,114.879997,111.360001,113.540001,94.950142,18530280
2014-08-27,114.300003,115.300003,113.260002,114.720001,95.936935,10521530
2014-08-28,115.440002,115.540001,113.160004,114.410004,95.677696,12930910
2014-09-01,114.879997,119.489998,114.529999,119.279999,99.750328,17242775
2014-09-02,119.599998,122.489998,119.540001,121.720001,101.790833,23281320
2014-09-03,122.239998,125.68,122,124.870003,104.425087,36167575
2014-09-04,125.199997,125.279999,122.82,123.830002,103.555351,12723880
2014-09-05,123.800003,124.919998,121.309998,122.330002,102.300957,14048445
2014-09-08,122.989998,124.400002,121.93,124.18,103.848061,9623690
2014-09-09,124.199997,125.699997,123,125.160004,104.667595,11380145
2014-09-10,124,124.580002,122.379997,124.089996,103.772789,13272385
2014-09-11,124.599998,125.849998,124.510002,125.099998,104.617424,10535900
2014-09-12,125.239998,126.940002,124.599998,126.599998,105.871826,10529130
2014-09-15,124.839996,124.839996,119.580002,120.050003,100.394257,21389680
2014-09-16,117.949997,119.360001,114.82,115.199997,96.338348,20635070
2014-09-17,116,118.599998,114.260002,117.400002,98.178139,22373330
2014-09-18,116.25,119.599998,115.389999,118.959999,99.482719,14341395
2014-09-19,119.199997,119.739998,116.120003,116.480003,97.408775,9684735
2014-09-22,116.980003,118.800003,116.599998,118.440002,99.047867,7809745
2014-09-23,118.400002,119.43,116.099998,116.610001,97.517487,6562715
2014-09-24,115.440002,116.480003,112.519997,113.690002,95.075577,8890980
2014-09-25,113,113.580002,108.339996,108.779999,90.969498,12011790
2014-09-26,107.699997,115.550003,107.190002,114.709999,95.928566,13249530
2014-09-29,114.800003,115.160004,112.309998,113.690002,95.075577,7332935
2014-09-30,112.699997,114.400002,110.769997,111.769997,93.469933,9510265
2014-10-01,112.379997,112.720001,110.510002,111.489998,93.235786,5309380
2014-10-07,110.5,112.959999,109.190002,110.220001,92.173729,6322180
2014-10-08,109.120003,111.589996,109.019997,110.790001,92.650398,6727305
2014-10-09,111.440002,116.129997,111.440002,115.690002,96.748116,9761695
2014-10-10,114.400002,115.540001,112.25,114.610001,95.84494,8274295
2014-10-13,113.470001,117.739998,113.199997,117.089996,97.918907,9097035
2014-10-14,117.400002,119.379997,116.690002,117.459999,98.228317,8819670
2014-10-15,117.459999,117.459999,117.459999,117.459999,98.228317,0
2014-10-16,116.279999,120.150002,115.730003,117.720001,98.445755,13356615
2014-10-17,117.019997,120,117.019997,119.660004,100.068123,9083030
2014-10-20,122.800003,123.599998,121.230003,122.769997,102.668915,9029220
2014-10-21,123,125,122.43,124.730003,104.308014,8625255
2014-10-22,125.800003,126.199997,123.129997,124.239998,103.898232,6112170
2014-10-27,124.400002,129.160004,123.800003,128.789993,107.703255,12679510
2014-10-28,128.800003,129.369995,126.540001,128.259995,107.26004,6769400
2014-10-29,128.660004,129,127.050003,127.660004,106.75827,7074230
2014-10-30,128.190002,132.940002,127.199997,132.520004,110.822556,31458985
2014-10-31,133.600006,137.839996,133.199997,136.899994,114.485397,15570795
2014-11-03,137.080002,137.089996,135.100006,135.669998,113.456802,9279455
2014-11-05,136.179993,137.800003,133.429993,133.970001,112.035156,9979795
2014-11-07,134.979996,136.179993,133.009995,135.229996,113.088837,9392425
2014-11-10,135.600006,136.309998,133.639999,134.929993,112.837952,6305545
2014-11-11,135,135.800003,133.850006,135.320007,113.164116,5124080
2014-11-12,135.800003,140.940002,135.619995,140.130005,117.186569,17274100
2014-11-13,141,142.479996,138.020004,138.690002,115.982346,15115325
2014-11-14,138.779999,140.059998,137.520004,137.889999,115.313324,8353105
2014-11-17,137.800003,139.399994,137.100006,137.910004,115.330048,6580170
2014-11-18,137.979996,139.880005,136.800003,138.710007,115.999062,7901560
2014-11-19,138.600006,139.300003,135.559998,136.210007,113.908386,5732640
2014-11-20,136.419998,136.710007,134,135.089996,112.971764,6640050
2014-11-21,138.399994,141.100006,137.600006,140.600006,117.57962,24618510
2014-11-24,141.5,141.520004,138.800003,139.729996,116.852058,10982620
2014-11-25,140.190002,140.199997,134.979996,135.660004,113.448448,11316990
2014-11-26,134.330002,137.800003,134.220001,136.710007,114.326538,12708050
2014-11-27,136.399994,139,135.210007,138.649994,115.948891,11706160
2014-11-28,139.039993,143.979996,139.039993,141.990005,118.742035,16628900
2014-12-01,142.059998,143.899994,142,142.929993,119.528114,13368260
2014-12-02,141.809998,143.960007,139.779999,143.580002,120.071716,15632775
2014-12-03,143.600006,150,143.600006,148.259995,123.985443,25366385
2014-12-04,148.800003,152.5,146.440002,151.919998,127.046204,16231820
2014-12-05,151.649994,153.350006,149.279999,150.119995,125.540909,10470870
2014-12-08,150.240005,150.399994,146.710007,147.149994,123.057182,11133160
2014-12-09,146.380005,147.759995,142.619995,143.360001,119.887718,13694005
2014-12-10,142.600006,145.759995,142.600006,143.449997,119.962982,17204115
2014-12-11,143,144.259995,140.410004,140.960007,117.880669,16623555
2014-12-12,141.539993,142.720001,139.100006,139.779999,116.89386,12044030
2014-12-15,138.380005,143.699997,138.050003,141.710007,118.507881,13295620
2014-12-16,140.399994,140.860001,136.039993,138.190002,115.564201,24593550
2014-12-17,136.800003,140,134,137.279999,114.803192,22411880
2014-12-18,140,144.899994,139.929993,143.949997,120.381119,16173390
2014-12-19,146.009995,147.300003,144.220001,145.690002,121.83625,16823360
2014-12-22,145.199997,148.960007,144.020004,148.25,123.977074,10991390
2014-12-23,149.690002,149.899994,146.199997,147.089996,123.007004,11301155
2014-12-24,147.520004,149.779999,146.5,149.009995,124.61264,9685860
2014-12-26,149.229996,149.660004,147.339996,148.199997,123.935272,6999975
2014-12-29,149.199997,149.75,147.279999,148.490005,124.177803,8101710
2014-12-30,148.800003,153.889999,147.270004,153.520004,128.384232,20468880
2014-12-31,153.520004,155,152.360001,154.410004,129.12851,10031815
2015-01-01,153.800003,154.929993,153.210007,154.509995,129.212143,3675025
2015-01-02,154.600006,159.160004,154.199997,158.440002,132.498688,10627395
2015-01-05,159.300003,160.979996,157.960007,158.779999,132.783005,14164070
2015-01-06,157.710007,157.759995,153.669998,154.330002,129.0616,12749005
2015-01-07,154,155.199997,150.850006,151.470001,126.669891,15567125
2015-01-08,154,154.899994,152.199997,153.830002,128.643494,11130605
2015-01-09,156,156.460007,150.270004,152.770004,127.757019,13265440
2015-01-12,153.199997,156.199997,151.699997,155.570007,130.098587,9423490
2015-01-13,157.100006,159.75,155.199997,156.350006,130.750885,17997855
2015-01-14,157.589996,158.600006,155.039993,157.339996,131.578781,30983715
2015-01-15,163.600006,165,161.399994,162.639999,136.011017,30096355
2015-01-16,162.699997,163.740005,160,160.529999,134.24649,24563605
2015-01-19,161.990005,165.449997,161.259995,164.990005,137.976257,14671960
2015-01-20,165.399994,172.589996,165.399994,171.669998,143.562531,20434335
2015-01-21,172.199997,176,169.699997,171.039993,143.03569,24417815
2015-01-22,171.800003,172.580002,168.279999,170.399994,142.500458,11307420
2015-01-23,172.880005,176.350006,171.5,175.240005,146.548035,18715695
2015-01-27,176,177,172.440002,176.570007,147.660278,17618110
2015-01-28,176.240005,179,174.869995,176.759995,147.819168,15155780
2015-01-29,175.809998,177.580002,174.399994,174.850006,146.221878,18110675
2015-01-30,175.600006,177.190002,171.399994,172.490005,144.248291,15269195
2015-02-02,171.789993,171.789993,163.809998,166.440002,139.188843,40766690
2015-02-03,167.979996,168.139999,160.199997,161.429993,134.999115,29277895
2015-02-04,162.199997,164.380005,158.320007,160.470001,134.196289,18173280
2015-02-05,160.160004,165.399994,158.800003,161.570007,135.116196,19136815
2015-02-06,162,163.979996,159.619995,162.160004,135.609604,15057070
2015-02-09,161,161.5,158.199997,159.309998,133.226242,12726995
2015-02-10,157.940002,165.960007,146.800003,163.559998,136.78038,21805225
2015-02-11,164,167,164,165.309998,138.243851,12201935
2015-02-12,164.839996,168.240005,163.050003,167.820007,140.342896,14864220
2015-02-13,168.399994,169,166.25,167.009995,139.665527,11192775
2015-02-16,167.899994,167.910004,162.419998,163.130005,136.420776,12646900
2015-02-18,163.199997,164.970001,161.229996,163.929993,137.089798,12668965
2015-02-19,164.699997,165.440002,160.520004,162.669998,136.036087,12998200
2015-02-20,162.779999,166.399994,160.800003,165.009995,137.992981,12511580
2015-02-23,168.199997,168.360001,161.350006,162.199997,135.643051,16180655
2015-02-24,162.399994,162.399994,159,160.070007,133.861801,17155100
2015-02-25,160.600006,162.130005,158.600006,158.970001,132.94191,15775115
2015-02-26,159,160.229996,156.020004,156.720001,131.060272,21484770
2015-02-27,157.979996,164.899994,157.220001,164.160004,137.282166,19578860
2015-03-02,175,177.699997,173.009995,176.5,147.6017,29341120
