Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
3-January-2017,241.20,245.75,239.50,243.25,243.478707716626725375,2601318,9977,633365545.00,1869498,71.87,6.25,2.05
2-January-2017,241.95,242.10,238.55,241.20,240.438756618654422927,540140,3637,129870590.00,175450,32.48,3.55,-0.75
30-December-2016,237.00,242.30,236.10,240.95,240.937723548362547880,748999,5555,180462114.00,335541,44.80,6.20,3.95
29-December-2016,235.90,236.70,232.30,235.50,234.438602028687388757,649484,7151,152264121.00,391488,60.28,4.40,-0.40
28-December-2016,234.10,236.40,233.10,235.35,234.951347663538564033,873586,7345,205250208.00,581006,66.51,3.30,1.25
27-December-2016,225.50,234.70,224.45,234.10,230.864786598463368560,826353,9892,190775809.00,400326,48.44,10.25,8.60
26-December-2016,224.35,225.85,222.05,225.05,224.141946639534822421,379382,4631,85035420.00,150705,39.72,3.80,0.70
23-December-2016,227.25,227.30,223.85,224.80,224.898298815970747322,619157,4463,139247356.00,369591,59.69,3.45,-2.45
22-December-2016,225.10,228.90,224.35,227.25,226.517350387544458985,384343,4281,87060358.00,153621,39.97,4.55,2.15
21-December-2016,229.40,229.80,225.30,226.10,227.609334108589030881,889169,3262,202383164.00,686410,77.20,4.50,-3.30
20-December-2016,227.15,230.35,227.15,229.40,229.827814633440281764,1036325,3259,238176310.00,853865,82.39,3.20,2.25
19-December-2016,228.00,229.20,225.95,227.10,227.439363141999778433,830452,3766,188877474.00,578599,69.67,3.25,-0.90
16-December-2016,231.00,231.00,226.00,226.55,227.270066488836755525,531969,4226,120900630.00,170630,32.08,5.00,-4.45
15-December-2016,232.95,234.10,228.55,229.80,230.869067689454606760,569424,4921,131462388.00,200192,35.16,5.55,-3.15
14-December-2016,236.00,236.45,231.90,233.10,233.407912486053825430,514478,4244,120083236.00,264212,51.36,4.55,-2.90
13-December-2016,233.00,236.80,232.40,235.30,235.033472936859319532,501420,3486,117850484.00,225836,45.04,4.40,2.30
12-December-2016,236.00,236.00,232.30,232.55,233.235118164618220551,205603,3123,47953840.00,49692,24.17,3.70,-3.45
9-December-2016,234.00,239.40,232.65,235.80,237.151741537963562378,692032,7209,164116594.00,280654,40.56,6.75,1.80
8-December-2016,229.90,235.20,228.40,233.00,232.674328688826099786,494778,4057,115122139.00,180079,36.40,6.80,3.10
7-December-2016,231.00,232.10,226.95,227.55,229.192073553999522294,636376,3625,145852335.00,324367,50.97,5.15,-3.45
6-December-2016,232.30,232.75,229.40,230.25,229.982290230368252900,594700,2447,136770468.00,114777,19.30,3.35,-2.05
5-December-2016,229.75,233.00,227.70,232.45,230.453602824516366261,587428,3669,135374899.00,226094,38.49,5.30,2.70
2-December-2016,232.90,232.90,228.00,228.40,229.200237252200071765,610321,6243,139885718.00,257770,42.24,4.90,-4.50
1-December-2016,232.90,234.95,231.20,233.35,233.449754213753259841,779946,2458,182078202.00,473066,60.65,3.75,0.45
30-November-2016,232.00,234.40,229.80,232.90,232.017662226298018805,503787,3296,116887482.00,121671,24.15,4.60,0.90
29-November-2016,235.00,235.60,230.25,231.20,232.726508077392348299,408981,2713,95180720.00,123315,30.15,5.35,-3.80
28-November-2016,230.00,234.20,227.80,233.50,230.944763648809947824,575563,2818,132923261.00,337662,58.67,6.40,3.50
25-November-2016,224.00,230.25,223.10,228.75,227.389106277114943127,1114238,3859,253365583.00,577400,51.82,7.15,4.75
24-November-2016,224.50,225.00,222.25,223.60,223.240978281441311997,517806,4697,115595518.00,177578,34.29,2.75,-0.90
23-November-2016,226.50,227.35,223.75,224.55,224.895672165464886362,491077,2947,110441092.00,226543,46.13,3.60,-1.95
22-November-2016,224.75,227.90,223.45,226.20,225.761904614594579545,323257,4240,72979116.00,116912,36.17,4.45,1.45
21-November-2016,229.00,230.80,224.10,224.35,225.459872147714531184,343365,4150,77415029.00,100436,29.25,6.70,-4.65
18-November-2016,231.10,231.20,227.10,227.90,229.061332737779514809,394031,3022,90257266.00,149798,38.02,4.10,-3.20
17-November-2016,229.00,234.05,225.00,232.35,231.583357667533906176,530803,4585,122925141.00,143338,27.00,9.05,3.35
16-November-2016,239.00,241.90,227.60,230.70,232.558946855524272034,1175983,9055,273485368.00,349885,29.75,14.30,-8.30
15-November-2016,242.90,246.90,235.55,237.70,240.772586432912699778,906252,6386,218200638.00,371222,40.96,11.35,-5.20
11-November-2016,246.05,248.65,241.00,243.00,245.827234081259748146,373789,4275,91887516.00,107172,28.67,7.65,-3.05
10-November-2016,252.00,252.60,245.85,250.80,249.732442351246533484,566491,6804,141471181.00,198279,35.00,6.75,-1.20
9-November-2016,240.00,254.60,239.85,248.65,247.167601890749032825,2889860,21784,714279766.00,1363907,47.20,14.75,8.65
8-November-2016,256.00,258.00,252.20,255.75,254.510122549589563518,645045,6064,164170482.00,315240,48.87,5.80,-0.25
7-November-2016,253.00,259.60,247.25,256.70,256.622932849074505283,2475811,10031,635349880.00,1682726,67.97,12.35,3.70
4-November-2016,251.00,256.00,247.40,249.10,250.680346089761783097,6620479,17530,1659623967.00,4884326,73.78,8.60,-1.90
3-November-2016,237.80,242.05,236.15,240.35,239.627336995974394509,1212240,6234,290485843.00,727808,60.04,5.90,2.55
2-November-2016,237.25,238.95,235.50,237.30,237.454457550234852188,646364,4347,153482013.00,184629,28.56,3.45,0.05
1-November-2016,242.00,242.65,238.70,239.85,241.659002197899131866,816234,3169,197250294.00,611488,74.92,3.95,-2.15
30-October-2016,243.30,244.00,241.15,241.90,242.417548859934853420,93328,1233,22624345.00,39894,42.75,2.85,-1.40
28-October-2016,244.95,244.95,239.75,242.55,241.925904130109137598,691604,4402,167316923.00,433940,62.74,5.20,-2.40
27-October-2016,240.10,244.55,239.80,243.30,243.074495371092685989,2698369,7036,655904683.00,2217713,82.19,4.75,3.20
26-October-2016,239.95,242.45,233.60,238.90,238.278497034801989306,2206598,18641,525784855.00,415321,18.82,8.85,-1.05
25-October-2016,241.95,242.35,237.85,238.75,240.545079235221040511,924084,3505,222283859.00,437523,47.35,4.50,-3.20
24-October-2016,242.00,242.00,239.75,241.20,241.036993102502183837,495687,3385,119478904.00,229463,46.29,2.25,-0.80
21-October-2016,240.45,240.90,238.75,239.85,240.050727405851080762,251304,3327,60325708.00,111797,44.49,2.15,-0.60
20-October-2016,240.00,241.40,238.25,239.30,239.554934780388044704,1439061,4020,344734164.00,1171240,81.39,3.15,-0.70
19-October-2016,245.80,245.90,238.50,239.80,241.286134221961502829,1547854,6714,373475708.00,1111286,71.80,7.40,-6.00
18-October-2016,241.90,246.50,240.55,245.80,243.794348180787401333,2609673,6193,636223528.00,2225241,85.27,5.95,3.90
17-October-2016,240.25,241.75,238.55,240.45,239.994394967091662848,4027095,3606,966480228.00,3766053,93.52,3.20,0.20
14-October-2016,239.95,240.75,238.50,239.80,239.642983536741507946,3217832,2320,771130861.00,1308063,40.65,2.25,-0.15
13-October-2016,240.15,241.20,237.50,239.15,239.221079545411488688,1319611,4728,315678768.00,861358,65.27,3.70,-1.00
10-October-2016,241.00,242.75,239.65,240.15,240.663429609673579349,383064,3442,92189496.00,159598,41.66,3.10,-0.85
7-October-2016,238.00,240.30,237.05,239.15,238.921880120302065962,549284,5414,131235966.00,164090,29.87,3.25,1.15
6-October-2016,242.00,242.00,236.20,238.00,238.460367498112167232,584003,5595,139261570.00,189250,32.41,5.80,-4.00
5-October-2016,242.00,243.10,239.30,240.30,240.937904739614549514,632351,5112,152357325.00,250473,39.61,3.80,-1.70
4-October-2016,243.00,244.05,240.85,241.45,242.626115166261151662,854469,4962,207316494.00,418346,48.96,3.20,-1.55
3-October-2016,242.35,244.25,242.00,242.10,242.340651362412700860,1400787,4603,339467634.00,1054881,75.31,2.25,-0.25
30-September-2016,246.00,246.15,240.80,241.55,242.971487993949706938,687570,5833,167059906.00,164289,23.89,5.35,-4.45
29-September-2016,248.45,248.50,241.40,245.55,244.278931986555975890,729841,6322,178284780.00,202204,27.71,7.10,-2.90
28-September-2016,245.80,249.65,245.50,247.05,247.773291914527927756,567858,3438,140700046.00,91832,16.17,4.15,1.25
27-September-2016,249.40,249.40,245.20,245.80,246.880294785778435205,567870,5654,140195913.00,164365,28.94,4.20,-3.60
26-September-2016,252.35,252.75,247.55,248.20,249.450011382540933368,571050,5604,142448429.00,200274,35.07,5.20,-4.15
23-September-2016,255.00,256.95,252.00,253.85,254.020901177996273414,414857,4187,105382349.00,119286,28.75,4.95,-1.15
22-September-2016,255.10,257.25,253.60,255.20,254.894553928662637269,469880,3944,119769853.00,219166,46.64,3.65,0.10
21-September-2016,256.90,258.75,253.20,253.80,256.313512698392751674,397885,4399,101983302.00,127457,32.03,5.55,-3.10
20-September-2016,259.65,259.75,255.50,257.05,256.891017537035236150,246792,2178,63398648.00,63701,25.81,4.25,-2.60
19-September-2016,262.55,262.55,257.70,258.15,260.000189000922997658,2317449,4540,602537178.00,1969142,84.97,4.85,-4.40
16-September-2016,255.10,262.25,255.10,260.40,259.304286021687674019,613436,10972,159066584.00,176832,28.83,7.15,5.30
15-September-2016,252.00,258.00,252.00,255.10,254.474110264198521405,1535512,5382,390748050.00,1181168,76.92,6.00,3.10
14-September-2016,251.00,253.00,249.75,252.00,250.471065900981797914,1679368,5232,420633093.00,1105892,65.85,3.25,1.00
12-September-2016,257.65,257.65,251.80,252.25,253.986389737916562122,701456,6691,178160277.00,348402,49.67,5.85,-5.40
9-September-2016,264.40,264.40,257.45,258.70,259.587195102831480404,574046,5810,149014991.00,128665,22.41,6.95,-5.70
8-September-2016,263.00,266.00,262.90,265.30,264.800935979268701567,638262,4956,169012375.00,382479,59.93,3.10,2.30
7-September-2016,263.00,264.95,261.55,261.70,262.580773025573341988,1860844,4797,488621856.00,1574778,84.63,3.40,-1.30
6-September-2016,262.80,266.00,261.10,262.35,263.791440192465943696,763148,5834,201311910.00,198084,25.96,4.90,-0.45
2-September-2016,262.50,263.30,260.25,262.45,261.196403436073509872,1292289,4558,337541239.00,903951,69.95,3.05,-0.05
1-September-2016,260.25,262.80,259.25,260.60,260.738794118975720446,575546,4943,150067170.00,149048,25.90,3.55,0.35
31-August-2016,258.45,261.95,256.45,260.05,258.763738451455592279,567604,4984,146875333.00,251008,44.22,5.50,1.60
30-August-2016,253.00,258.00,253.00,257.35,255.888884309601606299,776443,4285,198683133.00,405238,52.19,5.00,4.35
29-August-2016,253.80,254.00,251.00,252.85,252.570391169997720759,1605798,6901,405577029.00,1140500,71.02,3.00,-0.95
26-August-2016,253.30,254.80,252.10,253.75,253.780181591577768625,371493,4150,94277561.00,134283,36.15,2.70,0.45
25-August-2016,251.25,254.95,250.50,253.30,253.769656637645643755,711668,6273,180599744.00,296189,41.62,4.45,2.05
24-August-2016,250.55,252.65,249.00,250.20,249.855147266214146136,592091,4040,147936984.00,165662,27.98,3.65,-0.35
23-August-2016,254.15,254.80,250.50,251.30,251.472638096729417197,376783,3047,94750615.00,134714,35.75,4.30,-2.85
22-August-2016,251.25,254.95,251.25,254.05,253.782043407665971381,493323,3626,125196519.00,144029,29.20,3.70,2.80
19-August-2016,251.95,252.45,250.00,251.05,251.103037512249740189,472459,3226,118635890.00,250651,53.05,2.45,-0.90
18-August-2016,254.20,255.30,251.40,252.20,253.130825134433794161,378811,2634,95888741.00,103129,27.22,3.90,-2.00
17-August-2016,254.85,256.65,252.30,253.05,254.197472915787129223,902463,3376,229403814.00,576773,63.91,4.35,-1.80
16-August-2016,254.40,257.95,253.60,255.10,255.244208910900482926,843192,7946,215219875.00,306918,36.40,4.35,0.70
12-August-2016,249.25,255.50,249.25,253.55,254.180489126095335908,638731,4863,162352958.00,221711,34.71,6.25,4.30
11-August-2016,248.40,252.00,246.65,251.15,249.746100069437123049,825207,7583,206092230.00,366197,44.38,5.35,2.75
10-August-2016,249.00,249.00,246.00,246.65,246.611696001168125431,2753129,8337,678953812.00,2031496,73.79,3.00,-2.35
9-August-2016,252.40,255.15,246.25,249.20,248.015122093598257425,829118,5053,205633802.00,357223,43.08,8.90,-3.20
8-August-2016,253.00,254.50,249.70,250.00,251.996267126857460534,3453640,5288,870304388.00,2971401,86.04,4.80,-3.00
5-August-2016,252.00,256.35,251.05,251.45,251.966727970998215466,1282128,5039,323053597.00,895210,69.82,5.30,-0.55
4-August-2016,253.30,255.00,250.30,251.95,251.779071663177022940,545901,4655,137446447.00,140269,25.69,4.70,-1.35
3-August-2016,260.00,260.35,251.35,252.75,253.457942815684463938,606460,6886,153712104.00,272183,44.88,9.00,-7.25
2-August-2016,251.50,262.00,251.10,260.20,258.910937951847684415,1459286,9569,377825107.00,782751,53.64,10.90,8.70
1-August-2016,253.00,255.25,249.60,250.85,253.437824914753548531,465122,4653,117879508.00,260601,56.03,5.65,-2.15
29-July-2016,254.00,256.35,251.50,252.45,254.946178131109603798,802016,3694,204470914.00,519810,64.81,4.85,-1.55
28-July-2016,248.80,255.25,248.45,253.90,251.612493124822767922,525441,4758,132207520.00,291139,55.41,6.80,5.10
27-July-2016,251.95,253.65,246.55,247.75,249.373357292174899543,504198,6095,125733548.00,183793,36.45,7.10,-4.20
26-July-2016,251.90,253.55,250.50,251.55,252.290470668340532374,375976,5364,94855162.00,159386,42.39,3.05,-0.35
25-July-2016,249.90,251.90,249.20,251.30,250.590338690255477937,806371,4151,202068782.00,432745,53.67,2.70,1.40
22-July-2016,251.90,256.00,247.20,249.55,251.428416375934288525,1370963,11811,344699056.00,242429,17.68,8.80,-2.35
21-July-2016,253.70,254.00,246.50,250.65,250.469092567128833887,1256688,9282,314761503.00,325237,25.88,7.50,-3.05
20-July-2016,249.85,252.00,248.20,250.80,250.545984516287775600,568985,6021,142556907.00,242970,42.70,3.80,0.95
19-July-2016,249.65,250.00,245.80,248.50,247.800639392091652677,411641,4468,102004903.00,153775,37.36,4.20,-1.15
18-July-2016,249.00,249.85,247.50,248.95,248.768080997794007229,472803,5482,117618295.00,285988,60.49,2.35,-0.05
15-July-2016,249.90,252.50,247.65,248.90,250.186577270408713081,556772,5972,139296881.00,237452,42.65,4.85,-1.00
14-July-2016,247.00,251.35,245.15,248.85,247.900034724231726373,863950,6332,214173235.00,387214,44.82,6.20,1.85
13-July-2016,249.25,249.25,245.55,247.00,247.020919630147351142,311908,2934,77047801.00,86369,27.69,3.70,-2.25
12-July-2016,249.40,251.85,247.10,248.05,249.370955388702487734,312051,3252,77816456.00,138420,44.36,4.75,-1.35
11-July-2016,248.00,251.00,247.00,249.40,247.183205808111407936,6643261,5033,1642102551.00,6324338,95.20,4.00,1.40
8-July-2016,247.00,247.55,242.80,245.85,244.498626192217129273,310451,4280,75904843.00,94968,30.59,4.75,-1.15
7-July-2016,244.05,248.20,243.90,246.50,245.220306976051655357,1101454,5786,270098888.00,750216,68.11,4.30,2.45
5-July-2016,247.70,247.70,242.20,243.20,243.317189378500599220,2632585,6592,640553183.00,2272898,86.34,5.50,-4.50
4-July-2016,256.90,256.90,244.00,244.85,247.100092279212922435,717388,8960,177266641.00,341260,47.57,12.90,-12.05
1-July-2016,245.40,258.85,244.10,252.35,252.759261499403801531,1273066,15629,321779222.00,311672,24.48,14.75,6.95
30-June-2016,368.80,371.40,366.00,368.10,368.718603470870293077,528052,6449,194702596.00,245646,46.52,5.40,-0.70
29-June-2016,370.00,370.35,364.15,366.20,366.476165042760888546,763899,8161,279950776.00,471602,61.74,6.20,-3.80
28-June-2016,358.00,369.50,358.00,368.35,364.670570854670971899,583476,9713,212776526.00,285268,48.89,11.50,10.35
27-June-2016,356.65,361.05,354.60,359.05,357.808594549233921544,674474,7627,241332594.00,355997,52.78,6.45,2.40
24-June-2016,353.00,359.95,350.35,353.40,353.726117904861351118,543964,11206,192414274.00,191268,35.16,9.60,0.40
23-June-2016,354.65,361.85,354.60,360.25,358.760596956342300377,346491,6982,124307318.00,156314,45.11,7.25,5.60
22-June-2016,356.95,359.00,353.10,354.55,356.625660700271371703,423036,6917,150865493.00,257273,60.82,5.90,-2.40
21-June-2016,358.00,359.30,355.20,358.55,357.572903151271706094,225052,4063,80472497.00,92455,41.08,4.10,0.55
20-June-2016,360.00,360.90,355.30,358.30,358.385804139139707182,378871,7034,135781988.00,144168,38.05,5.60,-1.70
17-June-2016,355.10,360.00,355.10,359.55,358.843110770763058246,425708,7219,152762383.00,201311,47.29,4.90,4.45
16-June-2016,359.65,359.65,351.20,354.75,354.577975203126317861,462397,6226,163955792.00,229884,49.72,8.45,-4.90
15-June-2016,353.80,360.00,353.65,359.65,356.390894060664949718,403429,5589,143778422.00,209157,51.84,6.35,5.85
14-June-2016,351.65,354.00,348.00,353.30,351.905357326078938684,360609,4205,126900239.00,158595,43.98,6.00,1.65
