Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-December-2018,1127.15,1133.40,1116.60,1121.05,1122.607469385283744304,264252,5537,296651269.00,64647,24.46,16.80,-6.10
28-December-2018,1123.30,1135.90,1122.00,1125.80,1129.832111257475257335,343132,7868,387681552.00,87263,25.43,13.90,2.50
27-December-2018,1105.00,1125.90,1104.45,1120.00,1119.317815701459849199,454773,11609,509035521.00,111874,24.60,21.45,15.00
26-December-2018,1087.00,1100.65,1066.55,1096.95,1081.033615975642367289,474923,12592,513407728.00,84857,17.87,34.10,9.95
24-December-2018,1101.80,1103.00,1086.50,1090.05,1093.660721615555004973,270421,6340,295748826.00,57737,21.35,16.50,-11.75
21-December-2018,1128.30,1131.40,1095.00,1098.35,1109.692982907773819858,835175,11407,926787837.00,517822,62.00,36.40,-29.95
20-December-2018,1124.00,1131.95,1116.50,1127.25,1125.209471713376128594,306576,8623,344962219.00,75601,24.66,15.45,3.25
19-December-2018,1138.65,1146.55,1131.40,1137.10,1141.179955494877610913,1116276,7385,1273871796.00,877394,78.60,15.15,-1.55
18-December-2018,1122.00,1139.50,1120.80,1136.45,1130.632831234139641002,300671,6444,339948504.00,57121,19.00,18.70,14.45
17-December-2018,1114.70,1133.80,1110.30,1130.60,1125.271802573733407315,374864,8112,421823889.00,83652,22.32,23.50,15.90
14-December-2018,1103.90,1115.00,1092.60,1111.75,1107.235816685152619507,384977,8605,426260323.00,70910,18.42,22.40,7.85
13-December-2018,1125.60,1126.35,1096.55,1106.80,1110.673795361786945929,632140,11297,702101333.00,287519,45.48,29.80,-18.80
12-December-2018,1100.00,1113.35,1088.10,1110.50,1099.231317615736517396,1035909,11812,1138703615.00,607762,58.67,25.25,10.50
11-December-2018,1066.10,1100.20,1055.35,1096.20,1079.168192954869582025,957115,20943,1032888065.00,229901,24.02,44.85,30.10
10-December-2018,1112.65,1112.75,1084.00,1088.50,1090.923258102213302991,1104729,16559,1205174560.00,762774,69.05,28.75,-24.15
7-December-2018,1132.80,1135.20,1109.10,1133.25,1125.911385632044742659,256042,6870,288280603.00,63497,24.80,26.10,0.45
6-December-2018,1147.50,1147.85,1118.25,1123.45,1135.894110657975016858,249128,8001,282983028.00,69192,27.77,29.60,-24.05
5-December-2018,1144.70,1159.00,1139.60,1154.85,1150.495948836827942963,268318,6005,308698772.00,70546,26.29,19.40,10.15
4-December-2018,1157.00,1157.40,1142.95,1151.55,1149.317192642787996127,206600,4741,237448932.00,34752,16.82,14.45,-5.45
3-December-2018,1172.05,1174.00,1148.65,1156.30,1158.381920208033942380,292260,8019,338548700.00,79862,27.33,25.35,-15.75
30-November-2018,1172.00,1186.00,1162.95,1168.20,1173.569391549233798664,454515,16103,533404892.00,118071,25.98,23.05,-3.80
29-November-2018,1159.00,1179.90,1158.80,1170.00,1171.965290094966532150,413830,14828,484994396.00,116134,28.06,21.10,11.00
28-November-2018,1132.30,1157.70,1126.50,1146.25,1139.617156918996799653,1098006,17132,1251306476.00,169921,15.48,31.20,13.95
27-November-2018,1109.50,1129.40,1101.70,1127.50,1122.579155183379266482,264152,6556,296531529.00,61921,23.44,27.70,18.00
26-November-2018,1109.95,1117.25,1098.05,1109.60,1107.733301622271179651,279608,6373,309731093.00,66919,23.93,19.20,-0.35
22-November-2018,1114.70,1125.10,1100.00,1102.85,1112.906518704015601453,360992,8015,401750350.00,76688,21.24,25.10,-11.85
21-November-2018,1137.00,1145.40,1107.05,1112.30,1115.365938481683254548,499461,9198,557081787.00,192693,38.58,38.35,-24.70
20-November-2018,1146.00,1155.45,1130.40,1138.65,1141.293971163395426545,472247,6805,538972654.00,64810,13.72,25.05,-7.35
19-November-2018,1132.00,1151.40,1131.20,1149.60,1141.130495047580166992,514395,13163,586991821.00,215124,41.82,20.20,17.60
16-November-2018,1096.10,1129.30,1096.10,1127.50,1122.166917513571339152,702952,14307,788829479.00,161502,22.97,33.20,31.40
15-November-2018,1096.00,1102.85,1087.10,1096.90,1094.984758451321714403,286257,6454,313447052.00,52445,18.32,15.75,0.90
14-November-2018,1105.00,1112.85,1087.00,1096.10,1098.051187503421942806,420083,8532,461272637.00,88950,21.17,25.85,-8.90
13-November-2018,1075.90,1102.80,1071.00,1099.55,1090.265427750690630537,363436,8299,396241706.00,83791,23.06,31.80,23.65
12-November-2018,1098.50,1100.05,1074.30,1078.75,1085.915927104425802719,259275,7060,281550852.00,73519,28.36,25.75,-19.75
9-November-2018,1106.00,1113.30,1086.00,1093.35,1100.432592436532181607,379720,7920,417856264.00,94582,24.91,27.30,-12.65
7-November-2018,1116.80,1117.00,1106.60,1110.55,1110.660072555268274106,99786,3836,110828326.00,42586,42.68,10.40,-6.25
6-November-2018,1094.30,1111.95,1093.05,1103.45,1104.369267744487248713,661149,11150,730152637.00,249829,37.79,18.90,9.15
5-November-2018,1074.00,1093.50,1064.50,1088.55,1072.589550319978448391,5052059,14534,5418785691.00,4346186,86.03,29.00,14.55
2-November-2018,1067.80,1081.00,1063.00,1074.25,1069.774226839061543225,4308094,14539,4608687928.00,3619191,84.01,18.00,6.45
1-November-2018,1066.40,1068.80,1050.30,1056.90,1058.489017097488171868,393976,9454,417019269.00,85260,21.64,18.50,-9.50
31-October-2018,1064.70,1065.70,1047.65,1061.40,1061.406704939286457302,3153168,10980,3346793657.00,2709209,85.92,18.05,-3.30
30-October-2018,1087.45,1087.45,1052.00,1057.15,1064.765084944346807264,558189,13384,594340158.00,138891,24.88,35.45,-30.30
