Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
April-2019,1143.60,1164.00,1065.60,1156.15,1260446,39267,1407085935.00,327903,26.01,98.40,12.55
May-2019,1158.00,1262.10,1069.25,1233.55,2485352,62301,2917110685.00,580145,23.34,192.85,75.55
June-2019,1234.00,1336.80,1227.50,1334.85,1420316,43998,1819793096.00,308964,21.75,109.30,100.85
July-2019,1334.85,1340.75,1041.05,1056.15,3354505,107184,3801896034.00,721674,21.51,299.70,-278.70
August-2019,1055.00,1131.40,998.70,1104.95,2938584,71661,3093747631.00,1222221,41.59,132.70,49.95
September-2019,1105.00,1345.55,1025.70,1272.80,2246220,81712,2693126985.00,606525,27.00,319.85,167.80
October-2019,1275.35,1389.85,1177.75,1332.35,2236460,58023,2876767221.00,594894,26.60,212.10,57.00
November-2019,1335.00,1340.00,1123.85,1160.75,2782801,98306,3332978412.00,1079209,38.78,216.15,-174.25
December-2019,1161.00,1229.70,1143.60,1187.60,1489571,52737,1764979127.00,564090,37.87,86.10,26.60
January-2020,1196.40,1240.00,1132.00,1188.10,1812923,76041,2135642832.00,720641,39.75,108.00,-8.30
February-2020,1188.00,1307.65,1163.10,1298.70,1153992,44642,1451928296.00,253224,21.94,144.55,110.70
