Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
January-2014,425.00,435.40,341.60,356.15,13668268,311346,5257187754.00,2888933,21.14,93.80,-68.85
February-2014,356.50,399.90,336.00,344.05,17011826,351351,6227696825.00,3901461,22.93,63.90,-12.45
March-2014,343.80,396.00,332.20,393.85,21095369,425502,7554409072.00,5189500,24.60,63.80,50.05
April-2014,394.50,432.70,386.25,400.60,14672980,368262,6048207553.00,3363115,22.92,46.45,6.10
May-2014,403.80,494.90,388.75,475.00,25114929,742231,11251409735.00,4774777,19.01,106.15,71.20
June-2014,477.00,578.60,472.00,528.30,19550248,587876,10414003543.00,3385616,17.32,106.60,51.30
July-2014,530.00,573.90,493.65,553.40,17199488,520960,9326521034.00,4099455,23.83,80.25,23.40
August-2014,548.00,568.55,509.55,513.55,14804047,435010,8006971243.00,3401182,22.97,59.00,-34.45
September-2014,515.15,531.00,451.10,459.30,15703519,446983,7846398832.00,4086117,26.02,79.90,-55.85
October-2014,457.00,492.70,435.45,489.35,13842160,460458,6308199319.00,3344473,24.16,57.25,32.35
November-2014,492.00,495.30,458.65,473.30,12192132,335003,5781023759.00,2240457,18.38,36.65,-18.70
December-2014,474.00,474.90,387.05,399.35,15728367,435356,6583115597.00,3160684,20.10,87.85,-74.65
January-2015,396.00,421.20,372.55,390.45,17192976,451702,6799866787.00,4924300,28.64,48.65,-5.55
February-2015,391.00,394.80,344.95,355.65,15574694,437147,5698091972.00,3112284,19.98,49.85,-35.35
March-2015,358.55,359.25,311.30,316.85,16796078,429972,5609771164.00,4149048,24.70,47.95,-41.70
April-2015,316.50,378.45,316.10,360.50,15860525,407079,5547435792.00,3109212,19.60,62.35,44.00
May-2015,363.00,384.20,322.40,328.50,14410468,262835,5142408627.00,2770766,19.23,61.80,-34.50
June-2015,329.00,333.00,287.55,304.70,16801022,218375,5123483295.00,2900555,17.26,45.45,-24.30
July-2015,305.50,310.30,245.25,247.30,18888932,233076,5216574407.00,5069343,26.84,65.05,-58.20
August-2015,247.30,268.20,200.40,225.05,34197037,356513,8138928401.00,7664571,22.41,67.80,-22.25
September-2015,221.00,243.90,200.00,211.90,28493688,296262,6354715481.00,5798382,20.35,43.90,-9.10
October-2015,215.95,261.95,210.40,246.75,22259421,252639,5380503519.00,3638684,16.35,51.55,30.80
November-2015,247.10,247.10,213.00,230.05,17547184,183560,3994662420.00,3056008,17.42,34.10,-17.05
December-2015,230.50,266.25,225.00,259.55,22818098,221514,5660798636.00,3551049,15.56,41.25,29.05
January-2016,261.00,276.20,225.30,250.05,22640340,236296,5657131878.00,3148303,13.91,50.90,-10.95
February-2016,251.00,263.50,211.30,249.10,28821977,298190,6881438081.00,3381463,11.73,52.20,-1.90
March-2016,250.00,325.85,246.70,319.50,25306289,319280,7467152172.00,3804484,15.03,79.15,69.50
April-2016,318.00,364.15,308.40,350.55,22536945,306955,7625997265.00,2555967,11.34,55.75,32.55
May-2016,350.00,355.45,311.20,334.45,18727394,262601,6164121177.00,2609081,13.93,44.25,-15.55
June-2016,335.50,348.25,297.40,321.90,18407288,259435,6011663690.00,2694274,14.64,50.85,-13.60
July-2016,325.05,379.25,312.00,354.75,22146559,290938,7778857562.00,4225009,19.08,67.25,29.70
August-2016,359.00,394.60,354.00,370.45,19648346,232970,7409820203.00,3696129,18.81,40.60,11.45
September-2016,370.80,408.50,355.40,374.40,19794051,217909,7480452444.00,4179779,21.12,53.10,3.60
October-2016,376.00,431.65,375.00,404.65,17430076,202779,7097299549.00,3407052,19.55,56.65,28.65
November-2016,404.00,440.90,366.05,414.95,17851834,232384,7245297857.00,2566071,14.37,74.85,10.95
December-2016,417.55,435.40,377.45,391.10,11996421,154261,4917146180.00,1728756,14.41,57.95,-26.45
January-2017,390.20,476.35,388.95,462.40,17017427,208172,7497461921.00,3861994,22.69,87.40,72.20
February-2017,462.55,495.85,455.70,482.65,14459427,166222,6855990001.00,3149124,21.78,40.15,20.10
March-2017,483.30,508.45,462.50,482.65,13894316,165704,6770196278.00,3201260,23.04,45.95,-0.65
April-2017,485.00,505.80,442.60,448.85,11862807,129645,5579753884.00,2752882,23.21,63.20,-36.15
May-2017,450.05,520.40,428.25,504.90,25597116,255806,12057377327.00,5498296,21.48,92.15,54.85
June-2017,506.20,546.80,487.50,544.35,13405300,159552,6840777776.00,2991518,22.32,59.30,38.15
July-2017,544.05,572.00,541.95,567.55,10548255,130543,5873671584.00,3210373,30.44,30.05,23.50
August-2017,569.10,642.60,558.00,638.00,11546864,140742,7035530544.00,3080703,26.68,84.60,68.90
September-2017,641.00,696.55,623.00,651.05,8841728,110386,5855084954.00,2333541,26.39,73.55,10.05
October-2017,655.05,734.90,654.25,703.65,7503317,92625,5270882605.00,2479124,33.04,80.65,48.60
November-2017,707.00,717.95,669.70,695.15,6853226,89339,4800893250.00,2138278,31.20,48.25,-11.85
December-2017,696.00,744.35,660.60,732.45,6031305,83211,4234980894.00,1487952,24.67,83.75,36.45
January-2018,732.50,792.55,702.05,705.05,8304413,101962,6302661228.00,2846904,34.28,90.50,-27.45
February-2018,706.25,720.60,633.00,671.70,14748625,195965,9981659343.00,4014477,27.22,87.60,-34.55
March-2018,671.00,684.80,554.10,570.90,16937765,223581,10334418053.00,4950810,29.23,130.70,-100.10
April-2018,574.95,623.90,558.00,594.70,9826825,143435,5811269584.00,2125587,21.63,65.90,19.75
May-2018,596.70,636.30,536.60,575.45,12416613,162346,7330767072.00,2898405,23.34,99.70,-21.25
June-2018,570.90,607.55,538.35,567.85,12632920,161000,7149417083.00,3448379,27.30,69.20,-3.05
July-2018,575.20,586.50,493.50,562.85,14446724,185975,7808072645.00,2967419,20.54,93.00,-12.35
August-2018,565.00,614.30,540.55,601.65,14199557,191129,8233414923.00,3071762,21.63,73.75,36.65
September-2018,602.00,646.70,574.50,580.35,11714794,166475,7127310149.00,1748735,14.93,72.20,-21.65
October-2018,583.00,594.45,530.10,552.40,12163197,141469,6827368335.00,2067449,17.00,64.35,-30.60
November-2018,556.95,610.00,513.25,530.25,16386023,161791,9234727506.00,5010541,30.58,96.75,-26.70
December-2018,541.00,552.50,486.90,521.85,11780584,133683,6092095902.00,2025658,17.19,65.60,-19.15
January-2019,522.05,524.05,442.10,475.95,13778177,164709,6568629266.00,3582037,26.00,81.95,-46.10
February-2019,477.00,511.95,452.30,501.30,14755120,161317,7144494172.00,2866304,19.43,59.65,24.30
March-2019,503.90,531.80,502.75,520.85,8848525,96717,4585316901.00,2202894,24.90,29.05,16.95
April-2019,527.00,559.00,509.00,556.45,10233971,149191,5528081146.00,1555943,15.20,50.00,29.45
May-2019,556.00,560.35,455.50,487.90,14300089,192176,7044031468.00,2145460,15.00,104.85,-68.10
June-2019,487.00,516.40,463.65,504.40,9137696,127168,4509613470.00,1566157,17.14,52.75,17.40
July-2019,509.10,514.75,406.25,431.90,11809542,162930,5482546103.00,2013642,17.05,108.50,-77.20
August-2019,428.00,431.65,322.45,344.95,18209556,220293,6544758781.00,2953077,16.22,109.20,-83.05
September-2019,341.60,388.00,327.35,359.80,16915494,179104,6084099053.00,2136585,12.63,60.65,18.20
October-2019,364.80,399.65,320.30,380.50,17514183,172386,6213357301.00,2753586,15.72,79.35,15.70
November-2019,376.00,434.35,376.00,427.40,21160284,233770,8609735094.00,2266609,10.71,58.35,51.40
December-2019,424.70,476.00,389.05,472.00,18810200,236577,8168986392.00,1789051,9.51,86.95,47.30
January-2020,473.10,505.95,436.50,438.75,13156437,197216,6278995292.00,3232467,24.57,69.45,-34.35
February-2020,432.00,487.25,416.90,440.90,8286497,111594,3751032110.00,1491654,18.00,70.35,8.90
