Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
January-2014,332.00,339.70,291.25,315.15,6704453,138514,2128321018.00,3413083,50.91,48.45,-16.85
February-2014,314.50,319.30,282.10,287.50,8382857,160679,2529964947.00,4334036,51.70,37.20,-27.00
March-2014,289.70,327.00,282.30,318.90,5616177,111688,1686212056.00,1955898,34.83,44.70,29.20
April-2014,318.00,345.40,312.00,327.65,3116596,101703,1025109864.00,766843,24.61,33.40,9.65
May-2014,328.00,350.00,304.00,344.00,6076287,167464,2024730077.00,1765436,29.05,46.00,16.00
June-2014,346.00,367.00,328.10,336.90,8007104,164157,2778409751.00,3145843,39.29,38.90,-9.10
July-2014,337.00,375.05,326.75,372.60,7911449,154288,2732315721.00,4460930,56.39,48.30,35.60
August-2014,372.00,386.80,361.70,369.70,5496550,102098,2049985527.00,2889917,52.58,25.10,-2.30
September-2014,371.50,419.90,370.40,404.25,8033548,206247,3249535851.00,4007546,49.89,49.50,32.75
October-2014,403.85,417.00,380.00,398.30,3804486,102439,1532685163.00,1586074,41.69,37.00,-5.55
November-2014,401.00,408.20,378.15,381.95,4702541,115820,1843024952.00,2064167,43.89,30.05,-19.05
December-2014,383.00,386.20,336.85,352.85,8083909,129315,2937089119.00,4869537,60.24,49.35,-30.15
January-2015,358.00,394.45,339.30,372.75,5560619,143839,2012763867.00,2429742,43.70,55.15,14.75
February-2015,373.00,377.10,341.00,357.20,4369322,136285,1554839491.00,1614336,36.95,36.10,-15.80
March-2015,358.75,404.25,339.05,393.90,10542135,247691,4054929354.00,5027333,47.69,65.20,35.15
April-2015,394.70,425.70,371.85,381.65,6345103,158717,2568420098.00,2670972,42.10,53.85,-13.05
May-2015,377.00,434.70,374.05,425.30,7076146,136952,2832493808.00,2944394,41.61,60.65,48.30
June-2015,416.90,437.20,403.50,419.90,6044738,87139,2535110929.00,3093992,51.18,33.70,3.00
July-2015,422.00,452.45,404.30,418.60,4817950,81914,2074028640.00,2104915,43.69,48.15,-3.40
August-2015,419.50,427.60,332.60,354.50,4918622,96263,1898784869.00,1340282,27.25,95.00,-65.00
September-2015,352.00,366.00,315.65,338.00,5794823,80378,1979428383.00,3134274,54.09,50.35,-14.00
October-2015,338.20,374.35,335.80,348.75,4109165,62968,1439907971.00,1584405,38.56,38.55,10.55
November-2015,348.00,354.10,317.90,334.50,3608897,44185,1214796523.00,1897177,52.57,36.20,-13.50
December-2015,335.00,341.20,304.65,339.90,4840420,66733,1557475706.00,2013504,41.60,36.55,4.90
January-2016,338.00,343.90,282.30,289.70,5078987,82884,1559649154.00,1978593,38.96,61.60,-48.30
February-2016,291.00,334.80,291.00,316.75,9328164,94389,2913014259.00,5863815,62.86,43.80,25.75
March-2016,315.30,361.20,310.20,350.90,6921492,64304,2366302716.00,4403445,63.62,51.00,35.60
April-2016,350.35,384.90,325.70,363.80,3495441,73996,1240742529.00,669834,19.16,59.20,13.45
May-2016,364.00,377.55,339.00,351.65,5560316,78947,1965284457.00,2673986,48.09,38.55,-12.35
June-2016,354.65,369.30,337.25,366.15,3234013,60673,1150096423.00,1152172,35.63,32.05,11.50
July-2016,367.10,383.40,353.20,362.05,13306457,79008,4862617218.00,10189186,76.57,30.20,-5.05
August-2016,362.05,370.80,329.00,331.85,4291126,70403,1495482981.00,1530863,35.68,41.80,-30.20
September-2016,331.00,332.15,302.00,314.05,12714097,116583,3986978276.00,6741449,53.02,30.15,-16.95
October-2016,315.00,326.20,296.60,318.50,2905050,44810,908852288.00,767409,26.42,29.60,3.50
November-2016,320.00,326.80,283.95,324.50,3300189,53789,1009183857.00,1039302,31.49,42.85,4.50
December-2016,325.55,337.05,289.25,305.35,2728128,78946,854354034.00,796637,29.20,47.80,-20.20
January-2017,305.25,370.00,299.55,347.90,4547940,96781,1487766783.00,870173,19.13,70.45,42.65
February-2017,347.90,400.65,340.80,365.15,6831542,86304,2492318817.00,1948984,28.53,59.85,17.25
March-2017,368.00,369.45,325.50,349.95,24405352,88153,8688832564.00,20875785,85.54,43.95,-18.05
April-2017,350.00,361.35,333.25,354.60,4726962,45256,1626282010.00,2409596,50.98,28.10,4.60
May-2017,350.15,381.50,336.95,371.80,7503227,86590,2760068083.00,3332338,44.41,44.55,21.65
June-2017,370.00,386.45,361.00,379.15,6639494,49392,2445216382.00,4564928,68.75,25.45,9.15
July-2017,382.00,431.00,373.35,417.80,9705730,101067,3927766811.00,4830053,49.76,57.65,35.80
August-2017,415.65,438.00,403.70,427.85,2499266,35025,1048057475.00,700913,28.04,34.30,12.20
September-2017,429.00,430.15,370.00,388.65,2480960,30843,985376827.00,662941,26.72,60.15,-40.35
October-2017,389.65,519.35,373.10,497.65,9534448,80327,4353945005.00,1925667,20.20,146.25,108.00
November-2017,518.00,565.00,480.00,496.85,475082156,288437,241370711063.00,388553114,81.79,85.00,-21.15
December-2017,496.85,547.20,477.00,529.40,19791369,72147,10307507553.00,16154933,81.63,70.20,32.55
January-2018,531.50,542.25,422.20,439.65,53981181,111769,26795472242.00,47910550,88.75,120.05,-91.85
February-2018,435.00,449.15,403.00,427.35,6351520,76385,2723273652.00,1966308,30.96,46.15,-7.65
March-2018,429.50,436.70,391.10,398.90,9219414,80610,3818124217.00,2695606,29.24,45.60,-30.60
April-2018,401.40,427.00,374.60,409.55,7816531,72591,3079706062.00,2413350,30.87,52.40,8.15
May-2018,411.00,418.25,352.10,373.80,5573604,68906,2142977547.00,1187678,21.31,66.15,-37.20
June-2018,378.45,394.00,357.60,381.00,6134215,50368,2315595997.00,3195514,52.09,36.40,2.55
July-2018,381.00,392.05,331.20,390.70,13412600,63947,4646766901.00,9234353,68.85,60.85,9.70
August-2018,391.50,398.55,362.80,383.35,6381411,52285,2398765012.00,3024852,47.40,35.75,-8.15
September-2018,385.50,397.50,335.45,338.25,5784960,51637,2153950147.00,2880293,49.79,62.05,-47.25
October-2018,340.00,340.20,277.00,292.15,34314349,75987,10116898330.00,28944153,84.35,63.20,-47.85
November-2018,294.50,339.75,287.55,313.55,7766319,66129,2485061725.00,1816363,23.39,52.20,19.05
December-2018,315.00,340.00,282.25,312.90,8305963,75906,2595422481.00,1082891,13.04,57.75,-2.10
January-2019,316.80,345.00,294.80,307.15,19919935,61842,6268652196.00,13839357,69.47,50.20,-9.65
February-2019,305.95,326.85,293.30,317.95,4397991,42383,1358475451.00,316492,7.20,33.55,12.00
March-2019,320.50,356.40,302.60,332.90,9550753,77308,3110488297.00,2768607,28.99,53.80,12.40
April-2019,332.00,363.95,314.25,320.20,10650938,84238,3681202694.00,3739131,35.11,49.70,-11.80
May-2019,321.90,356.00,312.95,348.50,5864394,62210,1955817246.00,637991,10.88,43.05,26.60
June-2019,350.50,366.20,334.80,346.70,4700247,35609,1641224941.00,2317527,49.31,31.40,-3.80
July-2019,343.05,371.00,328.15,337.80,6210401,65106,2179274281.00,2731696,43.99,42.85,-5.25
August-2019,335.70,378.75,321.60,347.05,18964864,105311,6596162310.00,10664692,56.23,57.15,11.35
September-2019,347.05,374.60,332.65,367.25,4216709,54756,1461133073.00,868719,20.60,41.95,20.20
