Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
March-2019,1235.00,1386.60,1218.20,1363.05,14748550,229129,19539031327.00,6239709,42.31,168.40,128.05
April-2019,1368.55,1410.90,1321.60,1391.80,11501774,230497,15705013186.00,3894985,33.86,89.30,23.25
May-2019,1394.00,1417.00,1227.00,1329.75,19731034,376916,26052809023.00,7255075,36.77,190.00,-64.25
June-2019,1335.00,1373.00,1248.05,1252.00,7048484,179840,9187871184.00,2493944,35.38,124.95,-83.00
July-2019,1257.00,1299.80,1163.00,1166.00,8547940,264546,10750791986.00,3413910,39.94,136.80,-91.00
August-2019,1169.80,1304.00,1095.65,1248.35,11067323,323092,13572125832.00,3098619,28.00,208.35,78.55
September-2019,1240.00,1336.00,1173.25,1332.60,8995149,272250,11177867872.00,2580058,28.68,162.75,92.60
October-2019,1335.00,1489.50,1281.20,1464.20,7503066,217864,10516559891.00,2996216,39.93,208.30,129.20
November-2019,1459.90,1584.00,1423.35,1550.90,8062936,252980,12122139708.00,3546112,43.98,160.65,91.00
December-2019,1595.00,1617.80,1509.10,1514.10,10131329,262113,15867717911.00,3938468,38.87,108.70,-80.90
January-2020,1516.10,1609.50,1407.45,1411.70,8379170,307447,12741534967.00,3330545,39.75,202.05,-104.40
February-2020,1406.95,1479.70,1363.50,1473.95,4770664,139635,6857747650.00,2588466,54.26,116.20,67.00
