Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
January-2014,799.30,867.95,781.00,808.00,4372015,94935,3603815832.00,2783357,63.66,86.95,8.70
February-2014,805.00,823.70,755.60,818.35,2403285,58220,1893733690.00,1518582,63.19,68.10,13.35
March-2014,811.05,887.15,808.50,883.80,3983485,67368,3394924720.00,2703617,67.87,78.65,72.75
April-2014,884.60,933.00,862.25,897.55,3446396,74441,3073837368.00,2696070,78.23,70.75,12.95
May-2014,900.50,955.00,840.60,876.60,5701479,183112,5238912224.00,3660981,64.21,114.40,-23.90
June-2014,890.00,1002.90,873.45,990.65,4811623,128371,4641251792.00,2512334,52.21,129.45,100.65
July-2014,988.95,1089.00,947.00,1067.35,2894103,140235,2956225499.00,1495841,51.69,142.00,78.40
August-2014,1060.00,1149.90,1010.25,1073.90,1953761,104657,2094482366.00,954465,48.85,139.65,13.90
September-2014,1080.00,1083.45,1010.00,1052.60,2715665,93946,2845055454.00,1607088,59.18,73.45,-27.40
October-2014,1050.00,1110.00,975.25,1105.95,1846528,94729,1913248689.00,1026578,55.60,134.75,55.95
November-2014,1101.00,1177.00,1086.70,1160.10,1170956,68294,1321379969.00,471869,40.30,90.30,59.10
December-2014,1160.50,1165.75,1061.85,1135.00,1502478,109836,1669730050.00,652798,43.45,103.90,-25.50
January-2015,1134.00,1360.70,1095.00,1265.65,4518849,218301,5628424711.00,2123928,47.00,265.70,131.65
February-2015,1265.00,1379.00,1209.30,1336.15,3952061,214119,5149494417.00,2108482,53.35,169.70,71.15
March-2015,1342.10,1399.80,1257.35,1311.25,3165993,210273,4249249527.00,1471913,46.49,142.45,-30.85
April-2015,1296.00,1345.00,1161.80,1169.40,4368738,166754,5545422592.00,1032964,23.64,183.20,-126.60
May-2015,1178.00,1292.80,1149.00,1235.50,3880567,116492,4677877375.00,2704883,69.70,143.80,57.50
June-2015,1237.00,1313.00,1156.25,1296.45,3010176,75451,3683634517.00,1767025,58.70,156.75,59.45
July-2015,1296.00,1370.80,1279.30,1339.10,3327325,67358,4366211779.00,1357267,40.79,91.50,43.10
August-2015,1339.10,1350.50,1093.80,1188.85,3720590,74159,4650519733.00,2471085,66.42,256.70,-150.25
September-2015,1180.00,1240.00,1113.00,1213.25,2243893,66525,2642400343.00,942111,41.99,127.00,33.25
October-2015,1230.00,1350.00,1195.30,1257.20,2525648,61521,3244721416.00,1343169,53.18,154.70,27.20
November-2015,1260.00,1266.65,1158.25,1217.20,1997124,59848,2395817918.00,864612,43.29,108.40,-42.80
December-2015,1226.00,1270.70,1151.05,1262.65,2229597,50986,2682485890.00,1359936,60.99,119.65,36.65
January-2016,1266.90,1266.90,1122.30,1177.60,1860126,63726,2158677918.00,775619,41.70,144.60,-89.30
February-2016,1195.00,1195.00,1012.00,1061.55,4741866,72090,5083481050.00,3403442,71.77,183.00,-133.45
March-2016,1062.00,1174.00,1048.00,1105.55,3644755,93316,4097639716.00,2102688,57.69,126.00,43.55
April-2016,1104.00,1158.50,1060.15,1088.80,3274446,87360,3610397769.00,1910444,58.34,98.35,-15.20
May-2016,1097.95,1266.50,1079.05,1238.90,3916606,100758,4554115117.00,2471399,63.10,187.45,140.95
June-2016,1242.00,1267.50,1183.00,1252.70,3327899,73758,4092855071.00,2292552,68.89,84.50,10.70
July-2016,1240.00,1409.95,1239.70,1374.35,3064452,84068,4113768946.00,1858046,60.63,170.25,134.35
August-2016,1380.00,1413.75,1314.00,1406.15,3658345,61979,4972173267.00,2757850,75.39,99.75,26.15
September-2016,1406.15,1463.25,1373.25,1393.05,2938146,53484,4154195765.00,1929877,65.68,90.00,-13.10
October-2016,1395.00,1440.00,1298.55,1380.85,1947289,48942,2618320340.00,1123893,57.72,141.45,-14.15
November-2016,1380.85,1431.10,1201.60,1264.70,5103670,70814,6519888059.00,3893168,76.28,229.50,-116.15
December-2016,1275.00,1292.35,1185.00,1262.45,2710854,47909,3413964007.00,1935709,71.41,107.35,-12.55
January-2017,1275.00,1387.40,1197.55,1366.35,2458732,63792,3073690301.00,1469762,59.78,189.85,91.35
February-2017,1364.95,1435.00,1364.95,1368.80,2130851,49565,2977988549.00,1414605,66.39,70.05,3.85
March-2017,1368.80,1528.35,1361.00,1502.40,6485437,59885,9502394832.00,5351699,82.52,167.35,133.60
April-2017,1510.10,1589.85,1460.70,1537.05,5425893,60313,8273387006.00,4399409,81.08,129.15,26.95
May-2017,1543.15,1605.00,1504.45,1570.15,5096794,55599,7961839293.00,4053091,79.52,100.55,27.00
June-2017,1560.00,1680.50,1559.30,1616.35,5286204,60380,8647285915.00,3836368,72.57,121.20,56.35
July-2017,1615.00,1799.00,1601.55,1786.15,9284508,74248,15315898164.00,5545460,59.73,197.45,171.15
August-2017,1799.00,1799.00,1680.70,1775.45,3626077,44112,6294774731.00,2464133,67.96,118.30,-23.55
September-2017,1777.00,1802.25,1714.15,1740.70,1961618,35209,3454141256.00,1386656,70.69,88.10,-36.30
October-2017,1750.00,1778.90,1638.00,1707.35,1884295,35357,3259321003.00,1163253,61.73,140.90,-42.65
November-2017,1708.00,1804.50,1650.00,1677.85,1523498,40037,2603628185.00,774766,50.85,154.50,-30.15
December-2017,1680.00,1740.00,1642.00,1710.40,6508074,41861,11080679766.00,1814450,27.88,98.00,30.40
January-2018,1712.00,1982.00,1681.95,1955.70,14126583,74066,26417908936.00,9552584,67.62,300.05,243.70
February-2018,1957.50,1974.10,1760.00,1814.75,5077726,53038,9245653082.00,3515645,69.24,214.10,-142.75
