Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI
NIFTY,01-Jan-2018,28-Mar-2018,CE,10350,0,0,0,400.45,0,368.8,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,10400,382.7,382.7,349.7,349.8,349.7,349.8,12,96.9,3.3,8925,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,10450,0,0,0,335.85,0,307.6,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,10500,311.85,324,280.05,289.15,280.05,289.15,221,1791.72,51.34,303900,-4350
NIFTY,01-Jan-2018,28-Mar-2018,CE,10550,0,0,0,277.85,0,253.05,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,10600,249.55,267,235,236.7,235,236.7,22,179.13,4.23,1500,525
NIFTY,01-Jan-2018,28-Mar-2018,CE,10650,0,0,0,226.5,0,205.15,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,10700,209,215.05,179.75,183.2,179.75,183.2,73,596.61,10.78,52275,1725
NIFTY,01-Jan-2018,28-Mar-2018,CE,10750,0,0,0,181.95,0,163.85,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,10800,163.4,168,144.4,144.8,144.4,144.8,44,361.82,5.42,4050,-750
NIFTY,01-Jan-2018,28-Mar-2018,CE,10850,0,0,0,143.9,0,128.95,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,10900,120.35,130.9,114.7,115.4,114.75,115.4,42,347.39,4.04,2475,-1275
NIFTY,01-Jan-2018,28-Mar-2018,CE,10950,0,0,0,112.05,0,99.9,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,11000,101.9,101.95,78.95,81.7,80,81.7,661,5498.28,45.03,339825,24600
NIFTY,02-Jan-2018,28-Mar-2018,CE,6700,0,0,0,3761,3761,3842.4,0,0,0,49725,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,6800,0,0,0,2811.5,0,3743.9,0,0,0,0,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,6900,0,0,0,2718.05,0,3645.4,0,0,0,0,0
