Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Stock Price
NIFTY,01-Jan-2018,28-Mar-2018,PE,10300,160,180.6,160,177.25,177,177.25,104,816.57,13.17,95175,375,10435.55
NIFTY,01-Jan-2018,28-Mar-2018,PE,10350,0,0,0,108.45,0,126.9,0,0,0,0,0,10435.55
NIFTY,01-Jan-2018,28-Mar-2018,PE,10400,195,210.9,195,207.3,208.5,207.3,34,270.31,5.11,4800,375,10435.55
NIFTY,01-Jan-2018,28-Mar-2018,PE,10450,0,0,0,142.3,0,164.2,0,0,0,0,0,10435.55
NIFTY,01-Jan-2018,28-Mar-2018,PE,10500,229.9,249,224.7,246.35,247.9,246.35,2038,16401.85,352.6,695850,13125,10435.55
NIFTY,01-Jan-2018,28-Mar-2018,PE,10550,0,0,0,182.7,0,208.15,0,0,0,0,0,10435.55
NIFTY,01-Jan-2018,28-Mar-2018,PE,10600,0,0,0,900.9,0,232.55,0,0,0,0,0,10435.55
NIFTY,01-Jan-2018,28-Mar-2018,PE,10650,0,0,0,229.8,0,258.7,0,0,0,0,0,10435.55
NIFTY,01-Jan-2018,28-Mar-2018,PE,10700,0,0,0,974.05,0,286.5,0,0,0,0,0,10435.55
NIFTY,01-Jan-2018,28-Mar-2018,PE,10750,0,0,0,283.65,0,315.95,0,0,0,0,0,10435.55
NIFTY,01-Jan-2018,28-Mar-2018,PE,10800,0,0,0,1049.65,0,346.95,0,0,0,0,0,10435.55
NIFTY,01-Jan-2018,28-Mar-2018,PE,10850,0,0,0,344.05,0,379.5,0,0,0,0,0,10435.55
NIFTY,01-Jan-2018,28-Mar-2018,PE,10900,0,0,0,1127.3,0,413.5,0,0,0,0,0,10435.55
NIFTY,01-Jan-2018,28-Mar-2018,PE,10950,0,0,0,410.6,0,448.9,0,0,0,0,0,10435.55
NIFTY,01-Jan-2018,28-Mar-2018,PE,11000,497.4,526.5,482.4,519.9,526.5,519.9,80,690.21,30.21,91200,2325,10435.55
NIFTY,01-Jan-2018,28-Mar-2018,PE,11050,0,0,0,483.35,0,523.8,0,0,0,0,0,10435.55
NIFTY,01-Jan-2018,28-Mar-2018,PE,11100,0,0,0,1287.95,0,563,0,0,0,0,0,10435.55
NIFTY,01-Jan-2018,28-Mar-2018,PE,11150,0,0,0,560.25,0,603.3,0,0,0,0,0,10435.55
NIFTY,01-Jan-2018,28-Mar-2018,PE,11200,0,0,0,1370.65,0,644.6,0,0,0,0,0,10435.55
NIFTY,01-Jan-2018,28-Mar-2018,PE,11250,0,0,0,641.95,0,686.85,0,0,0,0,0,10435.55
NIFTY,01-Jan-2018,28-Mar-2018,PE,11300,0,0,0,1454.7,0,729.95,0,0,0,0,0,10435.55
NIFTY,01-Jan-2018,28-Mar-2018,PE,11350,0,0,0,727.35,0,773.8,0,0,0,0,0,10435.55
NIFTY,01-Jan-2018,28-Mar-2018,PE,11400,0,0,0,1540,0,818.35,0,0,0,0,0,10435.55
NIFTY,01-Jan-2018,28-Mar-2018,PE,11450,0,0,0,815.85,0,863.55,0,0,0,0,0,10435.55
NIFTY,01-Jan-2018,28-Mar-2018,PE,11500,925,940,925,932.5,940,932.5,2,18.65,1.4,150,150,10435.55
NIFTY,01-Jan-2018,28-Mar-2018,PE,11550,0,0,0,906.85,0,955.5,0,0,0,0,0,10435.55
NIFTY,01-Jan-2018,28-Mar-2018,PE,11600,0,0,0,1713.75,0,1002.15,0,0,0,0,0,10435.55
NIFTY,01-Jan-2018,28-Mar-2018,PE,11650,0,0,0,999.85,0,1049.2,0,0,0,0,0,10435.55
NIFTY,01-Jan-2018,28-Mar-2018,PE,11700,0,0,0,1740,0,1096.6,0,0,0,0,0,10435.55
NIFTY,01-Jan-2018,28-Mar-2018,PE,11750,0,0,0,1094.35,0,1144.3,0,0,0,0,0,10435.55
NIFTY,01-Jan-2018,28-Mar-2018,PE,11800,0,0,0,1775.35,0,1192.25,0,0,0,0,0,10435.55
NIFTY,01-Jan-2018,28-Mar-2018,PE,11850,0,0,0,1189.95,0,1240.4,0,0,0,0,0,10435.55
NIFTY,01-Jan-2018,28-Mar-2018,PE,11900,0,0,0,1742.45,0,1288.7,0,0,0,0,0,10435.55
