Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value
NIFTY,01-Nov-2018,27-Dec-2018,PE,10650,0,0,0,130.75,0,461.5,0,0,0,0,0,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,10700,420,428.9,390.1,399.15,405,399.15,89,741.13,26.91,14925,6375,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,10750,0,0,0,165,165,520.65,0,0,0,75,0,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,10800,453.25,507.75,439.75,447.2,445.1,447.2,117,988.99,41.29,151350,225,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,10850,0,0,0,192.3,0,583.6,0,0,0,0,0,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,10900,510,510,502,502,502,502,3,25.67,1.14,5625,225,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,10950,0,0,0,229.8,0,650.25,0,0,0,0,0,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,11000,584,649,570,591.6,594.85,591.6,2248,19556.79,1010.79,1655925,-4050,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,11050,0,0,0,271.8,0,720.3,0,0,0,0,0,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,11100,680,690,680,690,690,690,5,44.2,2.58,900,300,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,11150,0,0,0,318.4,0,794.1,0,0,0,0,0,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,11200,750.05,790,750,770,770,770,9,80.77,5.17,2025,300,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,11250,0,0,0,369.5,0,870.1,0,0,0,0,0,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,11300,860,870,850,850,850,850,4,36.48,2.58,675,225,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,11350,0,0,0,425.15,0,949.25,0,0,0,0,0,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,11400,0,0,0,1185,1185,989.75,0,0,0,525,0,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,11450,0,0,0,485.15,0,1030.85,0,0,0,0,0,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,11500,1050,1087.5,1010,1030.8,1027.05,1030.8,127,1195.05,99.67,739200,-150,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,11550,0,0,0,549.35,0,1114.8,0,0,0,0,0,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,11600,0,0,0,1460,1460,1157.55,0,0,0,10800,0,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,11650,0,0,0,617.5,0,1200.8,0,0,0,0,0,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,11700,0,0,0,1260,1260,1244.5,0,0,0,31725,0,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,11750,0,0,0,689.85,0,1288.65,0,0,0,0,0,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,11800,0,0,0,1366.4,0,1333.2,0,0,0,0,0,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,11850,0,0,0,764.85,0,1378.15,0,0,0,0,0,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,11900,0,0,0,1313.95,0,1423.4,0,0,0,0,0,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,11950,0,0,0,843.35,0,1469.05,0,0,0,0,0,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,12000,1490,1558.65,1490,1529.15,1499.95,1529.15,32,324.65,36.65,293400,-750,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,12050,0,0,0,924.7,0,1561.2,0,0,0,0,0,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,12100,0,0,0,1960,1960,1607.7,0,0,0,150,0,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,12150,0,0,0,1008.55,0,1654.45,0,0,0,0,0,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,12200,0,0,0,1399.05,0,1701.45,0,0,0,0,0,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,12250,0,0,0,1094.7,0,1748.65,0,0,0,0,0,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,12300,0,0,0,1381.85,0,1796.05,0,0,0,0,0,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,12350,0,0,0,1182.8,0,1843.65,0,0,0,0,0,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,12400,0,0,0,1438.1,0,1891.4,0,0,0,0,0,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,3600,2,2,1.55,2,2,2,68,183.7,0.1,144975,4275,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,3700,0,0,0,3.75,0,0,0,0,0,0,0,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,3800,0,0,0,3.5,0,0,0,0,0,0,0,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,3900,0,0,0,7.05,0,0,0,0,0,0,0,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,4000,2.75,2.75,1.85,1.85,1.85,1.85,3,9.01,0.01,109050,0,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,4100,0,0,0,10.2,0,0,0,0,0,0,0,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,4200,0,0,0,12.1,0,0,0,0,0,0,0,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,4300,0,0,0,14.25,0,0,0,0,0,0,0,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,4400,0,0,0,16.7,0,0,0,0,0,0,0,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,4500,0,0,0,19.45,0,0,0,0,0,0,0,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,4600,0,0,0,22.55,0,0,0,0,0,0,0,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,4700,0,0,0,25.95,0,0,0,0,0,0,0,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,4800,0,0,0,29.75,0,0,0,0,0,0,0,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,4900,0,0,0,33.95,0,0,0,0,0,0,0,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,5000,0,0,0,1.05,1,0,0,0,0,1500,0,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,5100,0,0,0,43.6,0,0,0,0,0,0,0,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,5200,0,0,0,49.1,0,0,0,0,0,0,0,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,5300,0,0,0,3.05,3.05,0,0,0,0,75,0,10380.45
