"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"WIPRO","01-Nov-2018","27-Dec-2018","CE","370","0","0","0","2.25","0","4.1","0","0","0","0","0","329.65"
"WIPRO","01-Nov-2018","27-Dec-2018","CE","375","0","0","0","4.3","4.3","3.35","0","0","0","4800","0","329.65"
"WIPRO","01-Nov-2018","27-Dec-2018","CE","380","0","0","0","1.35","0","2.7","0","0","0","0","0","329.65"
"WIPRO","01-Nov-2018","27-Dec-2018","CE","225","0","0","0","98.2","0","107.25","0","0","0","0","0","329.65"
"WIPRO","02-Nov-2018","27-Dec-2018","CE","220","0","0","0","103.1","0","100.9","0","0","0","0","0","318.4"
"WIPRO","02-Nov-2018","27-Dec-2018","CE","225","0","0","0","98.2","0","96","0","0","0","0","0","318.4"
"WIPRO","02-Nov-2018","27-Dec-2018","CE","230","0","0","0","93.3","0","91.05","0","0","0","0","0","318.4"
"WIPRO","02-Nov-2018","27-Dec-2018","CE","235","0","0","0","88.4","0","86.15","0","0","0","0","0","318.4"
"WIPRO","02-Nov-2018","27-Dec-2018","CE","240","0","0","0","83.5","0","81.25","0","0","0","0","0","318.4"
"WIPRO","02-Nov-2018","27-Dec-2018","CE","245","0","0","0","78.6","0","76.4","0","0","0","0","0","318.4"
"WIPRO","02-Nov-2018","27-Dec-2018","CE","250","0","0","0","73.75","0","71.55","0","0","0","0","0","318.4"
"WIPRO","02-Nov-2018","27-Dec-2018","CE","255","0","0","0","68.9","0","66.8","0","0","0","0","0","318.4"
"WIPRO","02-Nov-2018","27-Dec-2018","CE","260","0","0","0","64.1","0","62.1","0","0","0","0","0","318.4"
"WIPRO","02-Nov-2018","27-Dec-2018","CE","265","0","0","0","59.35","0","57.45","0","0","0","0","0","318.4"
"WIPRO","02-Nov-2018","27-Dec-2018","CE","270","0","0","0","54.65","0","52.9","0","0","0","0","0","318.4"
"WIPRO","02-Nov-2018","27-Dec-2018","CE","275","0","0","0","50.05","0","48.5","0","0","0","0","0","318.4"
"WIPRO","02-Nov-2018","27-Dec-2018","CE","280","0","0","0","45.55","0","44.25","0","0","0","0","0","318.4"
"WIPRO","02-Nov-2018","27-Dec-2018","CE","285","0","0","0","41.2","0","40.15","0","0","0","0","0","318.4"
"WIPRO","02-Nov-2018","27-Dec-2018","CE","290","0","0","0","37","0","36.2","0","0","0","0","0","318.4"
"WIPRO","02-Nov-2018","27-Dec-2018","CE","295","0","0","0","33","0","32.5","0","0","0","0","0","318.4"
"WIPRO","02-Nov-2018","27-Dec-2018","CE","300","0","0","0","29.2","0","28.95","0","0","0","0","0","318.4"
"WIPRO","02-Nov-2018","27-Dec-2018","CE","305","0","0","0","25.65","0","25.7","0","0","0","0","0","318.4"
"WIPRO","02-Nov-2018","27-Dec-2018","CE","310","0","0","0","22.3","0","22.65","0","0","0","0","0","318.4"
"WIPRO","02-Nov-2018","27-Dec-2018","CE","315","0","0","0","19.3","0","19.85","0","0","0","0","0","318.4"
"WIPRO","02-Nov-2018","27-Dec-2018","CE","320","0","0","0","16.55","0","17.25","0","0","0","0","0","318.4"
"WIPRO","02-Nov-2018","27-Dec-2018","CE","325","0","0","0","14.05","0","14.95","0","0","0","0","0","318.4"
"WIPRO","02-Nov-2018","27-Dec-2018","CE","330","0","0","0","11.85","0","12.85","0","0","0","0","0","318.4"
