"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"WIPRO","01-Nov-2018","27-Dec-2018","PE","220","0","0","0","0.05","0","0","0","0","0","0","0","329.65"
"WIPRO","01-Nov-2018","27-Dec-2018","PE","225","0","0","0","0.05","0","0","0","0","0","0","0","329.65"
"WIPRO","01-Nov-2018","27-Dec-2018","PE","230","0","0","0","0.05","0","0.05","0","0","0","0","0","329.65"
"WIPRO","01-Nov-2018","27-Dec-2018","PE","235","0","0","0","0.05","0","0.05","0","0","0","0","0","329.65"
"WIPRO","01-Nov-2018","27-Dec-2018","PE","240","0","0","0","0.05","0","0.05","0","0","0","0","0","329.65"
"WIPRO","01-Nov-2018","27-Dec-2018","PE","245","0","0","0","0.05","0","0.05","0","0","0","0","0","329.65"
"WIPRO","01-Nov-2018","27-Dec-2018","PE","250","0","0","0","0.1","0","0.1","0","0","0","0","0","329.65"
"WIPRO","01-Nov-2018","27-Dec-2018","PE","255","0","0","0","0.15","0","0.15","0","0","0","0","0","329.65"
"WIPRO","01-Nov-2018","27-Dec-2018","PE","260","0","0","0","0.25","0","0.2","0","0","0","0","0","329.65"
"WIPRO","01-Nov-2018","27-Dec-2018","PE","265","0","0","0","0.4","0","0.35","0","0","0","0","0","329.65"
"WIPRO","01-Nov-2018","27-Dec-2018","PE","270","0","0","0","0.65","0","0.5","0","0","0","0","0","329.65"
"WIPRO","01-Nov-2018","27-Dec-2018","PE","275","0","0","0","0.95","0","0.7","0","0","0","0","0","329.65"
"WIPRO","01-Nov-2018","27-Dec-2018","PE","280","0","0","0","1.35","0","1.05","0","0","0","0","0","329.65"
"WIPRO","01-Nov-2018","27-Dec-2018","PE","285","0","0","0","1.9","0","1.45","0","0","0","0","0","329.65"
"WIPRO","01-Nov-2018","27-Dec-2018","PE","290","0","0","0","2.6","0","2","0","0","0","0","0","329.65"
"WIPRO","01-Nov-2018","27-Dec-2018","PE","295","0","0","0","3.5","0","2.7","0","0","0","0","0","329.65"
"WIPRO","01-Nov-2018","27-Dec-2018","PE","300","0","0","0","4.6","0","3.6","0","0","0","0","0","329.65"
"WIPRO","01-Nov-2018","27-Dec-2018","PE","305","0","0","0","5.95","0","4.65","0","0","0","0","0","329.65"
"WIPRO","01-Nov-2018","27-Dec-2018","PE","310","0","0","0","7.55","0","5.95","0","0","0","0","0","329.65"
"WIPRO","01-Nov-2018","27-Dec-2018","PE","315","0","0","0","9.45","0","7.5","0","0","0","0","0","329.65"
"WIPRO","01-Nov-2018","27-Dec-2018","PE","320","0","0","0","11.6","0","9.25","0","0","0","0","0","329.65"
"WIPRO","01-Nov-2018","27-Dec-2018","PE","325","0","0","0","14","0","11.25","0","0","0","0","0","329.65"
"WIPRO","01-Nov-2018","27-Dec-2018","PE","330","0","0","0","16.7","0","13.55","0","0","0","0","0","329.65"
"WIPRO","01-Nov-2018","27-Dec-2018","PE","335","0","0","0","19.65","0","16.1","0","0","0","0","0","329.65"
"WIPRO","01-Nov-2018","27-Dec-2018","PE","340","0","0","0","22.85","0","18.85","0","0","0","0","0","329.65"
"WIPRO","01-Nov-2018","27-Dec-2018","PE","345","0","0","0","26.3","0","21.9","0","0","0","0","0","329.65"
"WIPRO","01-Nov-2018","27-Dec-2018","PE","350","0","0","0","30","0","25.15","0","0","0","0","0","329.65"
"WIPRO","01-Nov-2018","27-Dec-2018","PE","355","0","0","0","33.8","0","28.65","0","0","0","0","0","329.65"
"WIPRO","01-Nov-2018","27-Dec-2018","PE","360","0","0","0","37.85","0","32.35","0","0","0","0","0","329.65"
"WIPRO","01-Nov-2018","27-Dec-2018","PE","365","0","0","0","42.05","0","36.2","0","0","0","0","0","329.65"
"WIPRO","01-Nov-2018","27-Dec-2018","PE","370","0","0","0","46.35","0","40.2","0","0","0","0","0","329.65"
"WIPRO","01-Nov-2018","27-Dec-2018","PE","375","0","0","0","50.75","0","44.4","0","0","0","0","0","329.65"
"WIPRO","01-Nov-2018","27-Dec-2018","PE","380","0","0","0","55.3","0","48.65","0","0","0","0","0","329.65"
"WIPRO","01-Nov-2018","27-Dec-2018","PE","385","0","0","0","59.9","0","53.1","0","0","0","0","0","329.65"
"WIPRO","02-Nov-2018","27-Dec-2018","PE","220","0","0","0","0.05","0","0.05","0","0","0","0","0","318.4"
"WIPRO","02-Nov-2018","27-Dec-2018","PE","385","0","0","0","59.9","0","63.95","0","0","0","0","0","318.4"
"WIPRO","02-Nov-2018","27-Dec-2018","PE","230","0","0","0","0.05","0","0.05","0","0","0","0","0","318.4"
"WIPRO","02-Nov-2018","27-Dec-2018","PE","235","0","0","0","0.05","0","0.1","0","0","0","0","0","318.4"
"WIPRO","02-Nov-2018","27-Dec-2018","PE","240","0","0","0","0.05","0","0.15","0","0","0","0","0","318.4"
"WIPRO","02-Nov-2018","27-Dec-2018","PE","245","0","0","0","0.05","0","0.25","0","0","0","0","0","318.4"
"WIPRO","02-Nov-2018","27-Dec-2018","PE","250","0","0","0","0.1","0","0.35","0","0","0","0","0","318.4"
"WIPRO","02-Nov-2018","27-Dec-2018","PE","255","0","0","0","0.15","0","0.5","0","0","0","0","0","318.4"
"WIPRO","02-Nov-2018","27-Dec-2018","PE","260","0","0","0","0.25","0","0.75","0","0","0","0","0","318.4"
"WIPRO","02-Nov-2018","27-Dec-2018","PE","265","0","0","0","0.4","0","1.05","0","0","0","0","0","318.4"
"WIPRO","02-Nov-2018","27-Dec-2018","PE","270","0","0","0","0.65","0","1.45","0","0","0","0","0","318.4"
"WIPRO","02-Nov-2018","27-Dec-2018","PE","275","0","0","0","0.95","0","2","0","0","0","0","0","318.4"
"WIPRO","02-Nov-2018","27-Dec-2018","PE","280","0","0","0","1.35","0","2.7","0","0","0","0","0","318.4"
"WIPRO","02-Nov-2018","27-Dec-2018","PE","285","0","0","0","1.9","0","3.5","0","0","0","0","0","318.4"
"WIPRO","02-Nov-2018","27-Dec-2018","PE","290","0","0","0","2.6","0","4.55","0","0","0","0","0","318.4"
"WIPRO","02-Nov-2018","27-Dec-2018","PE","295","0","0","0","3.5","0","5.75","0","0","0","0","0","318.4"
"WIPRO","02-Nov-2018","27-Dec-2018","PE","300","0","0","0","4.6","0","7.2","0","0","0","0","0","318.4"
"WIPRO","02-Nov-2018","27-Dec-2018","PE","305","0","0","0","5.95","0","8.85","0","0","0","0","0","318.4"
"WIPRO","02-Nov-2018","27-Dec-2018","PE","310","0","0","0","7.55","0","10.75","0","0","0","0","0","318.4"
"WIPRO","02-Nov-2018","27-Dec-2018","PE","315","0","0","0","9.45","0","12.9","0","0","0","0","0","318.4"
"WIPRO","02-Nov-2018","27-Dec-2018","PE","320","0","0","0","11.6","0","15.25","0","0","0","0","0","318.4"
"WIPRO","02-Nov-2018","27-Dec-2018","PE","325","0","0","0","14","0","17.9","0","0","0","0","0","318.4"
"WIPRO","02-Nov-2018","27-Dec-2018","PE","330","0","0","0","16.7","0","20.75","0","0","0","0","0","318.4"
"WIPRO","02-Nov-2018","27-Dec-2018","PE","335","0","0","0","19.65","0","23.8","0","0","0","0","0","318.4"
"WIPRO","02-Nov-2018","27-Dec-2018","PE","340","0","0","0","22.85","0","27.1","0","0","0","0","0","318.4"
"WIPRO","02-Nov-2018","27-Dec-2018","PE","345","0","0","0","26.3","0","30.6","0","0","0","0","0","318.4"
"WIPRO","02-Nov-2018","27-Dec-2018","PE","350","0","0","0","30","0","34.3","0","0","0","0","0","318.4"
"WIPRO","02-Nov-2018","27-Dec-2018","PE","355","0","0","0","33.8","0","38.15","0","0","0","0","0","318.4"
"WIPRO","02-Nov-2018","27-Dec-2018","PE","360","0","0","0","37.85","0","42.15","0","0","0","0","0","318.4"
"WIPRO","02-Nov-2018","27-Dec-2018","PE","365","0","0","0","42.05","0","46.3","0","0","0","0","0","318.4"
"WIPRO","02-Nov-2018","27-Dec-2018","PE","370","0","0","0","46.35","0","50.55","0","0","0","0","0","318.4"
"WIPRO","02-Nov-2018","27-Dec-2018","PE","375","0","0","0","50.75","0","54.95","0","0","0","0","0","318.4"
"WIPRO","02-Nov-2018","27-Dec-2018","PE","380","0","0","0","55.3","0","59.4","0","0","0","0","0","318.4"
"WIPRO","02-Nov-2018","27-Dec-2018","PE","225","0","0","0","0.05","0","0.05","0","0","0","0","0","318.4"
"WIPRO","05-Nov-2018","27-Dec-2018","PE","220","0","0","0","0.05","0","0.05","0","0","0","0","0","324.1"
"WIPRO","05-Nov-2018","27-Dec-2018","PE","385","0","0","0","59.9","0","58.85","0","0","0","0","0","324.1"
"WIPRO","05-Nov-2018","27-Dec-2018","PE","230","0","0","0","0.05","0","0.05","0","0","0","0","0","324.1"
"WIPRO","05-Nov-2018","27-Dec-2018","PE","235","0","0","0","0.05","0","0.05","0","0","0","0","0","324.1"
"WIPRO","05-Nov-2018","27-Dec-2018","PE","240","0","0","0","0.05","0","0.1","0","0","0","0","0","324.1"
"WIPRO","05-Nov-2018","27-Dec-2018","PE","245","0","0","0","0.05","0","0.15","0","0","0","0","0","324.1"
"WIPRO","05-Nov-2018","27-Dec-2018","PE","250","0","0","0","0.1","0","0.2","0","0","0","0","0","324.1"
"WIPRO","05-Nov-2018","27-Dec-2018","PE","255","0","0","0","0.15","0","0.3","0","0","0","0","0","324.1"
"WIPRO","05-Nov-2018","27-Dec-2018","PE","260","0","0","0","0.25","0","0.45","0","0","0","0","0","324.1"
"WIPRO","05-Nov-2018","27-Dec-2018","PE","265","0","0","0","0.4","0","0.7","0","0","0","0","0","324.1"
"WIPRO","05-Nov-2018","27-Dec-2018","PE","270","0","0","0","0.65","0","1","0","0","0","0","0","324.1"
"WIPRO","05-Nov-2018","27-Dec-2018","PE","275","0","0","0","0.95","0","1.4","0","0","0","0","0","324.1"
"WIPRO","05-Nov-2018","27-Dec-2018","PE","280","0","0","0","1.35","0","1.9","0","0","0","0","0","324.1"
"WIPRO","05-Nov-2018","27-Dec-2018","PE","285","0","0","0","1.9","0","2.55","0","0","0","0","0","324.1"
"WIPRO","05-Nov-2018","27-Dec-2018","PE","290","0","0","0","2.6","0","3.35","0","0","0","0","0","324.1"
"WIPRO","05-Nov-2018","27-Dec-2018","PE","295","0","0","0","3.5","0","4.35","0","0","0","0","0","324.1"
"WIPRO","05-Nov-2018","27-Dec-2018","PE","300","0","0","0","4.6","0","5.5","0","0","0","0","0","324.1"
"WIPRO","05-Nov-2018","27-Dec-2018","PE","305","0","0","0","5.95","0","6.9","0","0","0","0","0","324.1"
"WIPRO","05-Nov-2018","27-Dec-2018","PE","310","0","0","0","7.55","0","8.5","0","0","0","0","0","324.1"
"WIPRO","05-Nov-2018","27-Dec-2018","PE","315","0","0","0","9.45","0","10.4","0","0","0","0","0","324.1"
"WIPRO","05-Nov-2018","27-Dec-2018","PE","320","0","0","0","11.6","0","12.5","0","0","0","0","0","324.1"
"WIPRO","05-Nov-2018","27-Dec-2018","PE","325","0","0","0","14","0","14.85","0","0","0","0","0","324.1"
"WIPRO","05-Nov-2018","27-Dec-2018","PE","330","0","0","0","16.7","0","17.4","0","0","0","0","0","324.1"
"WIPRO","05-Nov-2018","27-Dec-2018","PE","335","0","0","0","19.65","0","20.25","0","0","0","0","0","324.1"
"WIPRO","05-Nov-2018","27-Dec-2018","PE","340","0","0","0","22.85","0","23.3","0","0","0","0","0","324.1"
"WIPRO","05-Nov-2018","27-Dec-2018","PE","345","0","0","0","26.3","0","26.6","0","0","0","0","0","324.1"
"WIPRO","05-Nov-2018","27-Dec-2018","PE","350","0","0","0","30","0","30.05","0","0","0","0","0","324.1"
"WIPRO","05-Nov-2018","27-Dec-2018","PE","355","0","0","0","33.8","0","33.75","0","0","0","0","0","324.1"
"WIPRO","05-Nov-2018","27-Dec-2018","PE","360","0","0","0","37.85","0","37.6","0","0","0","0","0","324.1"
"WIPRO","05-Nov-2018","27-Dec-2018","PE","365","0","0","0","42.05","0","41.6","0","0","0","0","0","324.1"
"WIPRO","05-Nov-2018","27-Dec-2018","PE","370","0","0","0","46.35","0","45.7","0","0","0","0","0","324.1"
"WIPRO","05-Nov-2018","27-Dec-2018","PE","375","0","0","0","50.75","0","50","0","0","0","0","0","324.1"
"WIPRO","05-Nov-2018","27-Dec-2018","PE","380","0","0","0","55.3","0","54.35","0","0","0","0","0","324.1"
"WIPRO","05-Nov-2018","27-Dec-2018","PE","225","0","0","0","0.05","0","0.05","0","0","0","0","0","324.1"
