Date,Open Price,High,Low,Close Price,Adj Close,Volume
2018-01-01,233.625,240,232.087997,237.412994,234.548523,4467194
2018-01-02,236.888,243,235.837997,239.024994,236.141083,3832689
2018-01-03,240.300003,240.300003,231.563004,232.462997,229.658264,2930235
2018-01-04,232.574997,234.75,230.587997,233.738007,230.917892,1952778
2018-01-05,234.75,235.425003,230.774994,232.162994,229.361877,2150939
2018-01-08,232.5,234.675003,231.824997,233.363007,230.547424,2380330
2018-01-09,234.449997,240,229.800003,237.899994,235.029678,6100761
2018-01-10,237.300003,245.888,236.324997,245.024994,242.068695,5081516
2018-01-11,242.662994,244.537994,239.25,240.824997,237.919373,2821948
2018-01-12,240.75,242.813004,237.899994,239.100006,236.21521,4216884
2018-01-15,239.138,243.188004,235.050003,236.25,233.399582,1593612
2018-01-16,237.675003,250.5,237,248.962997,245.959183,8221924
2018-01-17,249.75,250.125,243.75,244.274994,241.327744,4056673
2018-01-18,245.25,246.188004,241.613007,244.013,241.068924,2361040
2018-01-19,245.25,247.5,240.375,246.712997,243.736328,2144134
2018-01-22,237.75,246.712997,237.75,241.162994,238.253296,6096757
2018-01-23,241.574997,242.212997,235.050003,236.438004,233.585297,4306701
2018-01-24,237.375,242.550003,234.149994,235.462997,232.62207,8771028
2018-01-25,236.774994,238.5,231.563004,233.962997,231.140167,11064915
2018-01-29,235.574997,237.074997,232.199997,233.363007,230.547424,4698634
2018-01-30,232.162994,234.225006,228.524994,230.475006,227.69426,3039996
2018-01-31,229.574997,231.712997,226.162994,228.524994,226.751617,3765216
2018-02-01,228.787994,231.824997,225,225.563004,223.812622,2936436
2018-02-02,224.475006,226.837997,221.399994,225.449997,223.700485,3356831
2018-02-05,223.5,229.162994,221.962997,224.063004,222.324249,2925527
2018-02-06,218.774994,222.113007,217.574997,220.988007,219.273117,3244655
2018-02-07,223.649994,223.649994,216,217.013,215.328964,3331381
2018-02-08,217.574997,220.988007,215.287994,217.350006,215.663345,7062754
2018-02-09,216.75,216.75,213,213.75,212.091293,4202634
2018-02-12,215.925003,218.212997,214.425003,216.712997,215.031296,3361144
2018-02-14,217.5,222.563004,217.162994,220.087997,218.380081,4031561
2018-02-15,221.699997,221.699997,217.837997,219.375,217.672623,2207532
2018-02-16,219.712997,221.925003,217.537994,218.25,216.556366,4104522
2018-02-19,219.75,219.75,216.600006,217.462997,215.775467,2210435
2018-02-20,217.5,219.938004,216.824997,218.587997,216.891739,4580312
2018-02-21,220.5,221.138,217.912994,219.149994,217.449371,6874135
2018-02-22,219.675003,220.688004,218.287994,219.488007,217.78476,6419250
2018-02-23,221.625,221.962997,219.225006,221.25,219.533081,4889884
2018-02-26,221.100006,221.774994,217.800003,218.699997,217.002869,6709467
2018-02-27,219.337997,220.763,218.363007,218.813004,217.11499,5233517
2018-02-28,219.75,220.350006,216.75,219.600006,217.895889,6862287
2018-03-01,219.600006,220.574997,218.399994,219.375,217.672623,5447711
2018-03-05,220.199997,220.313004,217.350006,218.212997,216.519638,4998325
2018-03-06,218.438004,218.962997,214.613007,215.212997,213.542923,6302115
2018-03-07,216.337997,218.138,213.225006,214.013,212.352234,2434170
2018-03-08,214.837997,215.813004,212.363007,213.899994,212.240112,2693676
2018-03-09,213.75,215.925003,213.074997,213.787994,212.128983,1340727
2018-03-12,214.725006,219,214.574997,218.024994,216.333099,2329131
2018-03-13,219.375,224.550003,219.375,222.449997,220.72377,4273121
2018-03-14,221.25,222.449997,219.75,220.388,218.677765,2773668
2018-03-15,221.587997,226.5,219,220.050003,218.342392,6590570
2018-03-16,221.25,222.863007,218.287994,221.813004,220.091721,6445545
2018-03-19,220.162994,222.375,214.949997,216.488007,214.808044,1981635
2018-03-20,215.175003,221.399994,213.488007,220.199997,218.491226,4032277
2018-03-21,220.875,222.225006,218.399994,221.438004,219.719635,4191414
2018-03-22,220.350006,221.25,215.363007,216.337997,214.659195,2518420
2018-03-23,213.037994,215.699997,212.287994,213.488007,211.831329,4385853
2018-03-26,213.449997,214.199997,204.263,205.5,203.905304,9372121
2018-03-27,209.212997,210.600006,204.938004,205.537994,203.943008,7119807
2018-03-28,205.5,212.625,204.75,210.863007,209.226685,6926560
2018-04-02,212.625,218.100006,209.100006,217.238007,215.552216,3271909
2018-04-03,215.475006,215.513,212.287994,212.925003,211.27269,2150304
2018-04-04,213.75,214.875,210,211.199997,209.561066,2179020
2018-04-05,212.25,215.024994,212.25,214.688004,213.022003,1406814
2018-04-06,214.5,214.5,212.475006,212.962997,211.310379,901137
2018-04-09,213.524994,214.537994,212.438004,213.787994,212.128983,1493212
2018-04-10,210.449997,216.300003,208.313004,214.5,212.835464,5836911
2018-04-11,216,216.899994,212.888,214.274994,212.612198,1734232
2018-04-12,214.725006,217.875,213.824997,215.138,213.468506,2994943
2018-04-13,217.125,221.212997,215.138,220.613007,218.901031,4245718
2018-04-16,216.75,220.5,215.587997,217.425003,215.737762,3128073
2018-04-17,216.074997,216.600006,212.475006,213.563004,211.905731,2927023
2018-04-18,216.149994,220.350006,214.875,219.488007,217.78476,3533337
2018-04-19,219.75,220.350006,217.238007,219.337997,217.63591,1276126
2018-04-20,221.100006,225,220.425003,223.537994,221.803314,4468674
2018-04-23,224.850006,225.75,220.350006,223.013,221.28241,5330245
2018-04-24,220.800003,221.738007,214.613007,215.212997,213.542923,4721712
2018-04-25,215.925003,220.350006,212.363007,215.363007,213.691757,8597555
2018-04-26,206.25,212.25,205.5,211.013,209.375519,12775064
2018-04-27,207.300003,209.475006,205.763,207.113007,205.505783,3259713
2018-04-30,207.113007,211.763,207.074997,209.063004,207.440659,2824384
2018-05-02,209.25,209.25,205.763,206.662994,205.059265,3177469
2018-05-03,206.25,206.813004,202.162994,203.587997,202.008133,4474720
2018-05-04,204.375,204.488007,198.037994,202.425003,200.854172,4128061
2018-05-07,202.5,206.738007,200.399994,206.063004,204.463928,2632939
2018-05-08,206.399994,206.962997,202.5,204.563004,202.975571,2610590
2018-05-09,204.75,205.800003,202.199997,202.688004,201.115128,2582910
2018-05-10,203.175003,203.699997,201.300003,202.837997,201.263962,2404423
2018-05-11,203.625,205.199997,201.225006,204.488007,202.901154,2033426
2018-05-14,203.550003,205.462997,202.5,204.263,202.677902,2052360
2018-05-15,204.600006,205.388,201.113007,203.25,201.67276,2250808
2018-05-16,203.175003,209.212997,202.5,206.024994,204.426224,4206945
2018-05-17,206.25,210.600006,205.763,208.763,207.14299,3474857
2018-05-18,207.375,207.375,201.037994,201.675003,200.109985,6422122
2018-05-21,201.824997,202.087997,198.074997,198.638,197.096558,4060193
2018-05-22,198,200.212997,197.324997,198.712997,197.170959,1983366
2018-05-23,199.162994,199.274994,196.949997,197.587997,196.054688,4700594
2018-05-24,198.074997,199.5,196.462997,198.263,196.724472,3133893
2018-05-25,198.75,199.238007,197.738007,198.449997,196.910004,3132507
2018-05-28,196.988007,198.563004,196.988007,197.475006,195.942581,1565526
2018-05-29,196.238007,198.375,196.238007,197.25,195.71933,2384298
2018-05-30,197.175003,197.587997,193.912994,195.638,194.119827,3899725
