Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Stock Price
WIPRO,02-Jan-2018,28-Mar-2018,CE,305,0,0,0,16.45,0,23.65,0,0,0,0,0,318.7
WIPRO,02-Jan-2018,28-Mar-2018,CE,310,0,0,0,13.75,0,20.3,0,0,0,0,0,318.7
WIPRO,02-Jan-2018,28-Mar-2018,CE,315,0,0,0,11.35,0,17.3,0,0,0,0,0,318.7
WIPRO,02-Jan-2018,28-Mar-2018,CE,320,0,0,0,9.25,0,14.55,0,0,0,0,0,318.7
WIPRO,02-Jan-2018,28-Mar-2018,CE,325,0,0,0,7.45,0,12.15,0,0,0,0,0,318.7
WIPRO,02-Jan-2018,28-Mar-2018,CE,330,0,0,0,5.95,0,10,0,0,0,0,0,318.7
WIPRO,02-Jan-2018,28-Mar-2018,CE,335,0,0,0,4.7,0,8.15,0,0,0,0,0,318.7
WIPRO,02-Jan-2018,28-Mar-2018,CE,340,0,0,0,3.65,0,6.6,0,0,0,0,0,318.7
WIPRO,02-Jan-2018,28-Mar-2018,CE,345,0,0,0,2.85,0,5.3,0,0,0,0,0,318.7
WIPRO,02-Jan-2018,28-Mar-2018,CE,350,0,0,0,2.15,0,4.15,0,0,0,0,0,318.7
WIPRO,02-Jan-2018,28-Mar-2018,CE,355,0,0,0,1.65,0,3.25,0,0,0,0,0,318.7
WIPRO,02-Jan-2018,28-Mar-2018,CE,360,0,0,0,1.2,0,2.55,0,0,0,0,0,318.7
WIPRO,02-Jan-2018,28-Mar-2018,CE,365,0,0,0,0.9,0,1.95,0,0,0,0,0,318.7
WIPRO,02-Jan-2018,28-Mar-2018,CE,370,0,0,0,0.65,0,1.5,0,0,0,0,0,318.7
WIPRO,03-Jan-2018,28-Mar-2018,CE,210,0,0,0,101.35,0,103.1,0,0,0,0,0,309.95
WIPRO,03-Jan-2018,28-Mar-2018,CE,370,0,0,0,0.65,0,1.45,0,0,0,0,0,309.95
WIPRO,03-Jan-2018,28-Mar-2018,CE,220,0,0,0,91.5,0,93.25,0,0,0,0,0,309.95
WIPRO,03-Jan-2018,28-Mar-2018,CE,225,0,0,0,86.6,0,88.3,0,0,0,0,0,309.95
WIPRO,03-Jan-2018,28-Mar-2018,CE,230,0,0,0,81.65,0,83.4,0,0,0,0,0,309.95
WIPRO,03-Jan-2018,28-Mar-2018,CE,235,0,0,0,76.75,0,78.5,0,0,0,0,0,309.95
WIPRO,03-Jan-2018,28-Mar-2018,CE,240,0,0,0,71.85,0,73.6,0,0,0,0,0,309.95
WIPRO,03-Jan-2018,28-Mar-2018,CE,245,0,0,0,66.95,0,68.75,0,0,0,0,0,309.95
WIPRO,03-Jan-2018,28-Mar-2018,CE,250,0,0,0,62.1,0,63.95,0,0,0,0,0,309.95
WIPRO,03-Jan-2018,28-Mar-2018,CE,255,0,0,0,57.25,0,59.2,0,0,0,0,0,309.95
WIPRO,03-Jan-2018,28-Mar-2018,CE,260,0,0,0,52.5,0,54.5,0,0,0,0,0,309.95
WIPRO,03-Jan-2018,28-Mar-2018,CE,265,0,0,0,47.8,0,49.9,0,0,0,0,0,309.95
WIPRO,03-Jan-2018,28-Mar-2018,CE,270,0,0,0,43.2,0,45.4,0,0,0,0,0,309.95
WIPRO,03-Jan-2018,28-Mar-2018,CE,275,0,0,0,38.7,0,41.05,0,0,0,0,0,309.95
WIPRO,03-Jan-2018,28-Mar-2018,CE,280,0,0,0,34.4,0,36.9,0,0,0,0,0,309.95
WIPRO,03-Jan-2018,28-Mar-2018,CE,285,0,0,0,30.3,0,32.9,0,0,0,0,0,309.95
WIPRO,03-Jan-2018,28-Mar-2018,CE,290,0,0,0,26.4,0,29.15,0,0,0,0,0,309.95
WIPRO,03-Jan-2018,28-Mar-2018,CE,295,0,0,0,22.8,0,25.6,0,0,0,0,0,309.95
WIPRO,03-Jan-2018,28-Mar-2018,CE,300,0,0,0,19.45,0,22.3,0,0,0,0,0,309.95
WIPRO,03-Jan-2018,28-Mar-2018,CE,305,0,0,0,16.45,0,19.3,0,0,0,0,0,309.95
WIPRO,03-Jan-2018,28-Mar-2018,CE,310,0,0,0,13.75,0,16.55,0,0,0,0,0,309.95
WIPRO,03-Jan-2018,28-Mar-2018,CE,315,0,0,0,11.35,0,14.1,0,0,0,0,0,309.95
WIPRO,03-Jan-2018,28-Mar-2018,CE,320,0,0,0,9.25,0,11.9,0,0,0,0,0,309.95
WIPRO,03-Jan-2018,28-Mar-2018,CE,325,0,0,0,7.45,0,9.95,0,0,0,0,0,309.95
WIPRO,03-Jan-2018,28-Mar-2018,CE,330,0,0,0,5.95,0,8.3,0,0,0,0,0,309.95
WIPRO,03-Jan-2018,28-Mar-2018,CE,335,0,0,0,4.7,0,6.8,0,0,0,0,0,309.95
WIPRO,03-Jan-2018,28-Mar-2018,CE,340,0,0,0,3.65,0,5.6,0,0,0,0,0,309.95
WIPRO,03-Jan-2018,28-Mar-2018,CE,345,0,0,0,2.85,0,4.55,0,0,0,0,0,309.95
WIPRO,03-Jan-2018,28-Mar-2018,CE,350,0,0,0,2.15,0,3.65,0,0,0,0,0,309.95
WIPRO,03-Jan-2018,28-Mar-2018,CE,355,0,0,0,1.65,0,2.9,0,0,0,0,0,309.95
WIPRO,03-Jan-2018,28-Mar-2018,CE,360,0,0,0,1.2,0,2.3,0,0,0,0,0,309.95
WIPRO,03-Jan-2018,28-Mar-2018,CE,365,0,0,0,0.9,0,1.8,0,0,0,0,0,309.95
WIPRO,03-Jan-2018,28-Mar-2018,CE,215,0,0,0,96.45,0,98.15,0,0,0,0,0,309.95
WIPRO,03-Jan-2018,28-Mar-2018,CE,215,0,0,0,96.45,0,98.15,0,0,0,0,0,309.95
WIPRO,01-Jan-2019,28-Mar-2019,CE,225,0,0,0,106.75,0,105.65,0,0,0,0,0,326.65
WIPRO,01-Jan-2019,28-Mar-2019,CE,390,0,0,0,5.75,0,4.2,0,0,0,0,0,326.65
WIPRO,01-Jan-2019,28-Mar-2019,CE,235,0,0,0,97.1,0,95.95,0,0,0,0,0,326.65
WIPRO,01-Jan-2019,28-Mar-2019,CE,240,0,0,0,92.35,0,91.1,0,0,0,0,0,326.65
WIPRO,01-Jan-2019,28-Mar-2019,CE,245,0,0,0,87.6,0,86.3,0,0,0,0,0,326.65
